ip_id,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR
10060,7,0.0,0.0,28.0,71.0,0.0,0.0,71.0,28.0
10061,48,0.0,0.0,58.0,29.0,0.0,12.0,27.0,72.0
10062,112,4.0,6.0,53.0,31.0,2.0,1.0,33.0,66.0
10063,41,0.0,14.0,70.0,12.0,2.0,0.0,36.0,63.0
10064,19,0.0,5.0,5.0,57.0,5.0,26.0,36.0,63.0
10065,40,0.0,7.0,40.0,37.0,2.0,12.0,22.0,77.0
10066,367,1.0,29.0,50.0,14.0,1.0,1.0,67.0,32.0
10067,16,0.0,37.0,43.0,18.0,0.0,0.0,43.0,56.0
10068,31,0.0,0.0,19.0,45.0,3.0,32.0,35.0,64.0
10069,169,0.0,19.0,50.0,27.0,1.0,0.0,40.0,59.0
1007,30,0.0,6.0,30.0,20.0,10.0,33.0,53.0,46.0
10070,30,0.0,26.0,33.0,40.0,0.0,0.0,30.0,70.0
10072,37,0.0,16.0,8.0,72.0,2.0,0.0,27.0,72.0
10073,27,0.0,3.0,77.0,0.0,0.0,18.0,29.0,70.0
10074,10,0.0,0.0,0.0,60.0,0.0,40.0,40.0,60.0
10075,25,0.0,40.0,0.0,44.0,0.0,16.0,44.0,56.0
10076,59,1.0,11.0,40.0,42.0,1.0,1.0,25.0,74.0
10077,44,0.0,13.0,40.0,43.0,2.0,0.0,34.0,65.0
10078,48,0.0,2.0,29.0,50.0,6.0,12.0,25.0,75.0
1008,32,6.0,31.0,21.0,9.0,9.0,21.0,46.0,53.0
10080,2,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0
10081,69,2.0,17.0,42.0,31.0,5.0,0.0,39.0,60.0
10082,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10083,17,0.0,0.0,17.0,52.0,0.0,29.0,29.0,70.0
10084,117,11.0,0.0,53.0,33.0,0.0,0.0,42.0,57.0
10087,15,0.0,40.0,13.0,46.0,0.0,0.0,53.0,46.0
10088,109,1.0,0.0,66.0,21.0,1.0,7.0,44.0,55.0
10089,81,0.0,1.0,56.0,27.0,14.0,0.0,44.0,55.0
1009,34,2.0,20.0,20.0,23.0,11.0,20.0,61.0,38.0
10090,30,0.0,23.0,56.0,16.0,0.0,3.0,40.0,60.0
10093,20,0.0,35.0,60.0,5.0,0.0,0.0,50.0,50.0
10094,19,0.0,52.0,31.0,15.0,0.0,0.0,52.0,47.0
10095,93,0.0,37.0,24.0,10.0,0.0,26.0,50.0,49.0
10096,40,0.0,0.0,37.0,42.0,5.0,15.0,40.0,60.0
10098,26,0.0,15.0,23.0,50.0,0.0,11.0,42.0,57.0
10099,36,0.0,0.0,44.0,30.0,5.0,19.0,38.0,61.0
101,32,12.0,21.0,21.0,15.0,9.0,18.0,50.0,50.0
1010,35,11.0,17.0,22.0,11.0,17.0,20.0,60.0,40.0
10100,53,0.0,11.0,47.0,24.0,16.0,0.0,43.0,56.0
10101,86,0.0,54.0,41.0,2.0,1.0,0.0,56.0,43.0
10102,85,0.0,7.0,44.0,40.0,8.0,0.0,16.0,83.0
10103,45,0.0,15.0,35.0,44.0,4.0,0.0,35.0,64.0
10104,118,5.0,2.0,54.0,25.0,5.0,5.0,38.0,61.0
10105,34,0.0,2.0,0.0,70.0,5.0,20.0,26.0,73.0
10106,56,0.0,7.0,55.0,25.0,0.0,12.0,33.0,66.0
10107,51,0.0,1.0,37.0,37.0,3.0,19.0,31.0,68.0
10108,100,0.0,0.0,58.0,26.0,5.0,11.0,44.0,56.0
10109,31,0.0,35.0,6.0,58.0,0.0,0.0,41.0,58.0
1011,37,2.0,8.0,35.0,24.0,10.0,18.0,64.0,35.0
10110,88,0.0,9.0,53.0,37.0,0.0,0.0,45.0,54.0
10111,49,0.0,10.0,0.0,55.0,34.0,0.0,40.0,59.0
10112,51,7.0,13.0,27.0,45.0,5.0,0.0,37.0,62.0
10113,66,0.0,12.0,28.0,48.0,4.0,6.0,24.0,75.0
10114,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10115,49,0.0,26.0,8.0,63.0,2.0,0.0,36.0,63.0
10116,81,3.0,7.0,39.0,45.0,2.0,1.0,45.0,54.0
10117,123,1.0,7.0,59.0,21.0,1.0,8.0,28.0,71.0
10118,193,0.0,4.0,73.0,12.0,7.0,2.0,53.0,46.0
10119,26,0.0,11.0,69.0,15.0,3.0,0.0,42.0,57.0
1012,28,21.0,21.0,14.0,28.0,7.0,7.0,35.0,64.0
10120,69,5.0,23.0,49.0,20.0,1.0,0.0,34.0,65.0
10122,73,0.0,4.0,47.0,31.0,1.0,15.0,32.0,67.0
10123,70,5.0,15.0,50.0,24.0,0.0,4.0,25.0,74.0
10124,53,0.0,0.0,64.0,15.0,0.0,20.0,49.0,50.0
10125,115,1.0,3.0,39.0,42.0,4.0,8.0,45.0,54.0
10126,16,0.0,56.0,0.0,43.0,0.0,0.0,56.0,43.0
10128,121,1.0,4.0,56.0,27.0,9.0,0.0,48.0,51.0
10129,92,1.0,1.0,67.0,20.0,8.0,1.0,43.0,56.0
1013,32,6.0,25.0,15.0,21.0,9.0,21.0,56.0,43.0
10130,137,0.0,12.0,45.0,32.0,9.0,0.0,42.0,57.0
10131,76,0.0,3.0,36.0,38.0,13.0,7.0,34.0,65.0
10132,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10133,56,0.0,12.0,10.0,48.0,14.0,14.0,51.0,48.0
10134,36,0.0,27.0,30.0,36.0,0.0,5.0,38.0,61.0
10135,25,0.0,20.0,28.0,40.0,8.0,4.0,32.0,68.0
10136,15,0.0,0.0,60.0,40.0,0.0,0.0,40.0,60.0
10137,78,1.0,5.0,48.0,26.0,17.0,0.0,43.0,56.0
10138,12,0.0,50.0,8.0,41.0,0.0,0.0,50.0,50.0
10139,34,0.0,2.0,44.0,52.0,0.0,0.0,38.0,61.0
1014,25,12.0,28.0,12.0,20.0,12.0,16.0,40.0,60.0
10140,80,3.0,0.0,51.0,30.0,6.0,8.0,33.0,66.0
10142,110,0.0,4.0,50.0,31.0,5.0,7.0,22.0,77.0
10143,64,3.0,9.0,12.0,73.0,1.0,0.0,28.0,71.0
10144,35,0.0,0.0,8.0,68.0,0.0,22.0,42.0,57.0
10145,59,0.0,13.0,0.0,77.0,5.0,3.0,20.0,79.0
10146,56,0.0,12.0,64.0,19.0,0.0,3.0,37.0,62.0
10147,6,0.0,16.0,33.0,50.0,0.0,0.0,50.0,50.0
10148,85,0.0,8.0,40.0,48.0,1.0,2.0,40.0,60.0
10149,25,0.0,8.0,36.0,40.0,16.0,0.0,28.0,72.0
1015,42,11.0,26.0,16.0,19.0,14.0,11.0,38.0,61.0
10150,73,0.0,10.0,1.0,65.0,6.0,15.0,34.0,65.0
10151,24,0.0,0.0,0.0,75.0,0.0,25.0,33.0,66.0
10152,34,0.0,20.0,17.0,55.0,5.0,0.0,41.0,58.0
10153,3,0.0,66.0,0.0,33.0,0.0,0.0,66.0,33.0
10154,107,0.0,1.0,59.0,20.0,8.0,9.0,52.0,47.0
10155,17,0.0,35.0,11.0,52.0,0.0,0.0,52.0,47.0
10156,38,0.0,18.0,28.0,44.0,2.0,5.0,39.0,60.0
10157,7,0.0,0.0,0.0,100.0,0.0,0.0,42.0,57.0
10158,62,0.0,9.0,67.0,17.0,4.0,0.0,33.0,66.0
1016,37,13.0,13.0,21.0,24.0,10.0,16.0,43.0,56.0
10160,35,0.0,17.0,20.0,62.0,0.0,0.0,28.0,71.0
10161,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
10162,29,0.0,0.0,48.0,34.0,10.0,6.0,31.0,68.0
10163,46,0.0,0.0,58.0,41.0,0.0,0.0,39.0,60.0
10164,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10165,132,0.0,8.0,65.0,21.0,3.0,0.0,38.0,61.0
10166,113,0.0,7.0,46.0,26.0,11.0,7.0,40.0,59.0
10167,43,2.0,13.0,53.0,30.0,0.0,0.0,39.0,60.0
10168,22,0.0,22.0,72.0,4.0,0.0,0.0,50.0,50.0
10169,51,1.0,27.0,29.0,33.0,5.0,1.0,19.0,80.0
1017,28,14.0,35.0,10.0,14.0,0.0,25.0,35.0,64.0
10170,48,0.0,2.0,52.0,31.0,6.0,8.0,27.0,72.0
10171,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10172,37,0.0,0.0,35.0,37.0,0.0,27.0,27.0,72.0
10173,34,0.0,0.0,0.0,70.0,5.0,23.0,29.0,70.0
10174,10,0.0,60.0,0.0,40.0,0.0,0.0,50.0,50.0
10175,72,0.0,0.0,30.0,44.0,6.0,18.0,43.0,56.0
10176,16,0.0,18.0,43.0,0.0,37.0,0.0,62.0,37.0
10177,36,2.0,11.0,2.0,50.0,0.0,33.0,41.0,58.0
10179,41,0.0,24.0,24.0,51.0,0.0,0.0,31.0,68.0
1018,43,11.0,16.0,30.0,23.0,2.0,16.0,37.0,62.0
10180,26,0.0,15.0,3.0,57.0,0.0,23.0,34.0,65.0
10181,120,0.0,4.0,60.0,29.0,5.0,0.0,35.0,64.0
10182,21,0.0,0.0,0.0,71.0,0.0,28.0,28.0,71.0
10183,16,0.0,12.0,0.0,43.0,0.0,43.0,56.0,43.0
10184,7,0.0,14.0,42.0,42.0,0.0,0.0,57.0,42.0
10185,45,0.0,26.0,11.0,60.0,0.0,2.0,28.0,71.0
10186,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10188,100,0.0,3.0,46.0,51.0,0.0,0.0,54.0,46.0
10189,19,0.0,5.0,42.0,26.0,26.0,0.0,42.0,57.0
1019,34,17.0,14.0,26.0,11.0,14.0,14.0,47.0,52.0
10190,109,0.0,11.0,54.0,23.0,10.0,0.0,32.0,67.0
10191,62,0.0,25.0,30.0,32.0,11.0,0.0,56.0,43.0
10192,53,1.0,11.0,60.0,22.0,3.0,0.0,49.0,50.0
10193,203,0.0,37.0,58.0,3.0,0.0,0.0,52.0,47.0
10194,113,0.0,10.0,50.0,30.0,2.0,5.0,63.0,36.0
10195,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10196,48,0.0,10.0,35.0,54.0,0.0,0.0,47.0,52.0
10197,66,0.0,10.0,1.0,77.0,7.0,3.0,22.0,77.0
10198,30,0.0,20.0,23.0,23.0,0.0,33.0,40.0,60.0
10199,9,0.0,11.0,33.0,55.0,0.0,0.0,55.0,44.0
102,27,3.0,33.0,18.0,40.0,0.0,3.0,62.0,37.0
1020,37,5.0,16.0,18.0,35.0,8.0,16.0,56.0,43.0
10201,30,0.0,3.0,13.0,60.0,3.0,20.0,33.0,66.0
10203,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10204,43,0.0,4.0,62.0,13.0,4.0,13.0,44.0,55.0
10205,65,0.0,9.0,29.0,53.0,7.0,0.0,41.0,58.0
10206,42,0.0,21.0,54.0,16.0,7.0,0.0,30.0,69.0
10207,44,0.0,22.0,34.0,34.0,9.0,0.0,36.0,63.0
10208,75,0.0,10.0,49.0,36.0,2.0,1.0,37.0,62.0
10209,61,0.0,16.0,65.0,18.0,0.0,0.0,45.0,54.0
1021,51,13.0,19.0,15.0,19.0,13.0,17.0,45.0,54.0
10210,209,1.0,4.0,48.0,17.0,28.0,0.0,50.0,49.0
10211,49,0.0,2.0,57.0,22.0,0.0,18.0,34.0,65.0
10212,41,0.0,19.0,31.0,48.0,0.0,0.0,43.0,56.0
10213,53,0.0,9.0,24.0,47.0,1.0,16.0,32.0,67.0
10214,212,0.0,7.0,38.0,37.0,15.0,0.0,33.0,66.0
10215,11,0.0,0.0,9.0,90.0,0.0,0.0,45.0,54.0
10216,318,9.0,1.0,65.0,20.0,2.0,0.0,41.0,58.0
10217,112,0.0,5.0,35.0,46.0,9.0,2.0,33.0,66.0
10218,40,0.0,22.0,37.0,40.0,0.0,0.0,20.0,80.0
10219,107,0.0,0.0,44.0,43.0,2.0,8.0,31.0,68.0
1022,38,15.0,28.0,13.0,23.0,0.0,18.0,36.0,63.0
10220,35,0.0,0.0,42.0,34.0,8.0,14.0,37.0,62.0
10222,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10223,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10224,35,0.0,17.0,31.0,51.0,0.0,0.0,20.0,80.0
10225,20,0.0,0.0,0.0,70.0,0.0,30.0,30.0,70.0
10226,36,0.0,5.0,33.0,58.0,0.0,2.0,36.0,63.0
10227,6,0.0,0.0,50.0,33.0,16.0,0.0,66.0,33.0
10228,38,0.0,7.0,26.0,39.0,2.0,23.0,34.0,65.0
10229,94,0.0,3.0,45.0,32.0,12.0,5.0,40.0,59.0
1023,45,15.0,24.0,20.0,15.0,4.0,20.0,51.0,48.0
10230,57,0.0,42.0,7.0,50.0,0.0,0.0,45.0,54.0
10231,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10232,2,0.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0
10234,98,2.0,26.0,54.0,15.0,2.0,0.0,54.0,45.0
10235,15,0.0,13.0,53.0,20.0,6.0,6.0,40.0,60.0
10236,19,0.0,26.0,0.0,73.0,0.0,0.0,26.0,73.0
10237,59,10.0,0.0,30.0,52.0,6.0,0.0,28.0,71.0
10238,294,0.0,3.0,32.0,44.0,19.0,0.0,38.0,61.0
10239,64,6.0,14.0,25.0,53.0,1.0,0.0,28.0,71.0
1024,36,13.0,16.0,16.0,16.0,16.0,19.0,55.0,44.0
10240,3,0.0,0.0,66.0,33.0,0.0,0.0,33.0,66.0
10241,27,0.0,0.0,29.0,51.0,0.0,18.0,22.0,77.0
10242,44,0.0,2.0,38.0,47.0,11.0,0.0,38.0,61.0
10243,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
10245,154,0.0,8.0,71.0,13.0,3.0,3.0,48.0,51.0
10246,104,0.0,2.0,55.0,23.0,6.0,10.0,54.0,45.0
10247,132,2.0,5.0,50.0,34.0,4.0,3.0,39.0,60.0
10248,108,0.0,15.0,76.0,7.0,0.0,0.0,37.0,62.0
10249,61,6.0,1.0,36.0,52.0,1.0,1.0,31.0,68.0
1025,44,6.0,15.0,20.0,31.0,9.0,15.0,43.0,56.0
10250,24,0.0,4.0,33.0,37.0,0.0,25.0,33.0,66.0
10251,30,0.0,3.0,6.0,60.0,3.0,26.0,33.0,66.0
10252,95,9.0,1.0,46.0,41.0,2.0,0.0,28.0,71.0
10253,17,0.0,29.0,17.0,52.0,0.0,0.0,47.0,52.0
10254,16,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0
10255,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10256,45,2.0,4.0,26.0,44.0,2.0,20.0,24.0,75.0
10257,56,0.0,14.0,0.0,42.0,42.0,0.0,57.0,42.0
10258,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
10259,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
1026,36,13.0,0.0,25.0,33.0,16.0,11.0,44.0,55.0
10260,35,0.0,5.0,0.0,71.0,5.0,17.0,28.0,71.0
10261,150,2.0,12.0,61.0,20.0,3.0,0.0,45.0,54.0
10263,38,0.0,31.0,18.0,28.0,0.0,21.0,42.0,57.0
10265,82,0.0,8.0,13.0,71.0,6.0,0.0,42.0,57.0
10267,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10269,13,7.0,69.0,23.0,0.0,0.0,0.0,38.0,61.0
1027,38,5.0,21.0,18.0,28.0,5.0,21.0,50.0,50.0
10270,182,0.0,3.0,69.0,20.0,2.0,2.0,44.0,55.0
10271,36,0.0,30.0,50.0,19.0,0.0,0.0,41.0,58.0
10272,33,0.0,9.0,51.0,24.0,0.0,15.0,30.0,69.0
10273,13,0.0,7.0,0.0,38.0,0.0,53.0,53.0,46.0
10274,40,2.0,27.0,20.0,35.0,0.0,15.0,37.0,62.0
10275,125,0.0,0.0,61.0,32.0,4.0,0.0,32.0,68.0
10276,193,0.0,61.0,29.0,6.0,1.0,1.0,57.0,42.0
10278,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10279,69,0.0,13.0,37.0,49.0,0.0,0.0,42.0,57.0
1028,43,11.0,20.0,6.0,32.0,4.0,23.0,53.0,46.0
10280,46,0.0,15.0,28.0,50.0,6.0,0.0,34.0,65.0
10281,21,0.0,23.0,4.0,66.0,0.0,4.0,28.0,71.0
10282,51,0.0,0.0,37.0,54.0,7.0,0.0,45.0,54.0
10283,11,0.0,18.0,63.0,0.0,9.0,9.0,27.0,72.0
10284,72,0.0,9.0,38.0,40.0,2.0,8.0,33.0,66.0
10285,70,4.0,8.0,51.0,34.0,0.0,1.0,42.0,57.0
10286,22,0.0,4.0,0.0,45.0,0.0,50.0,54.0,45.0
10287,49,0.0,0.0,24.0,73.0,2.0,0.0,30.0,69.0
10288,59,0.0,35.0,10.0,54.0,0.0,0.0,35.0,64.0
1029,39,15.0,20.0,20.0,23.0,5.0,15.0,48.0,51.0
10290,24,0.0,0.0,54.0,25.0,20.0,0.0,45.0,54.0
10291,25,0.0,4.0,68.0,28.0,0.0,0.0,48.0,52.0
10292,5,0.0,40.0,0.0,20.0,20.0,20.0,60.0,40.0
10293,14,21.0,0.0,35.0,28.0,14.0,0.0,35.0,64.0
10294,65,0.0,0.0,55.0,35.0,1.0,7.0,36.0,63.0
10295,4,0.0,0.0,75.0,25.0,0.0,0.0,50.0,50.0
10296,58,0.0,15.0,27.0,44.0,10.0,1.0,51.0,48.0
10297,151,0.0,13.0,50.0,25.0,11.0,0.0,29.0,70.0
10299,13,0.0,0.0,30.0,69.0,0.0,0.0,46.0,53.0
103,36,16.0,5.0,33.0,19.0,5.0,19.0,55.0,44.0
1030,29,20.0,13.0,27.0,17.0,6.0,13.0,44.0,55.0
1031,43,9.0,13.0,18.0,20.0,13.0,23.0,62.0,37.0
1032,40,7.0,20.0,20.0,15.0,10.0,27.0,57.0,42.0
1033,40,5.0,17.0,12.0,30.0,15.0,20.0,52.0,47.0
1034,39,7.0,23.0,23.0,25.0,12.0,7.0,46.0,53.0
1035,34,11.0,20.0,17.0,23.0,11.0,14.0,50.0,50.0
1036,29,6.0,20.0,20.0,13.0,13.0,24.0,58.0,41.0
1037,31,3.0,25.0,16.0,29.0,9.0,16.0,51.0,48.0
1038,39,12.0,15.0,10.0,17.0,12.0,30.0,71.0,28.0
1039,37,13.0,16.0,24.0,18.0,13.0,13.0,45.0,54.0
104,42,9.0,26.0,16.0,23.0,2.0,21.0,52.0,47.0
1040,44,9.0,27.0,22.0,11.0,11.0,18.0,43.0,56.0
1041,40,7.0,30.0,15.0,17.0,10.0,20.0,50.0,50.0
1042,38,15.0,18.0,13.0,21.0,7.0,23.0,55.0,44.0
1043,29,6.0,31.0,17.0,20.0,10.0,13.0,44.0,55.0
1044,37,5.0,18.0,21.0,32.0,13.0,8.0,64.0,35.0
1045,40,15.0,25.0,15.0,25.0,5.0,15.0,47.0,52.0
1046,34,11.0,17.0,23.0,20.0,11.0,14.0,50.0,50.0
1047,45,11.0,22.0,20.0,11.0,6.0,28.0,53.0,46.0
1048,38,7.0,13.0,23.0,15.0,10.0,28.0,57.0,42.0
1049,29,10.0,17.0,13.0,17.0,13.0,27.0,65.0,34.0
105,40,7.0,17.0,20.0,25.0,5.0,25.0,57.0,42.0
1050,51,21.0,11.0,27.0,13.0,9.0,15.0,47.0,52.0
1051,31,6.0,22.0,16.0,22.0,16.0,16.0,51.0,48.0
1052,38,5.0,18.0,18.0,23.0,15.0,18.0,60.0,39.0
1053,39,12.0,23.0,12.0,23.0,10.0,17.0,43.0,56.0
1054,39,7.0,12.0,20.0,17.0,10.0,30.0,58.0,41.0
1055,41,12.0,9.0,26.0,14.0,17.0,19.0,48.0,51.0
1056,34,17.0,20.0,17.0,11.0,11.0,20.0,47.0,52.0
1057,42,14.0,16.0,16.0,30.0,11.0,9.0,52.0,47.0
1058,44,18.0,20.0,15.0,20.0,9.0,15.0,40.0,59.0
1059,36,5.0,22.0,27.0,16.0,16.0,11.0,50.0,50.0
106,34,2.0,14.0,26.0,23.0,14.0,17.0,67.0,32.0
1060,34,8.0,8.0,20.0,23.0,2.0,35.0,52.0,47.0
1061,39,12.0,17.0,10.0,17.0,12.0,28.0,48.0,51.0
1062,46,6.0,19.0,30.0,13.0,13.0,17.0,56.0,43.0
1063,37,8.0,18.0,13.0,21.0,10.0,27.0,45.0,54.0
1064,35,11.0,8.0,25.0,25.0,8.0,20.0,48.0,51.0
1065,33,15.0,21.0,15.0,18.0,9.0,21.0,48.0,51.0
1066,28,3.0,17.0,28.0,17.0,3.0,28.0,67.0,32.0
1067,28,0.0,28.0,7.0,25.0,10.0,28.0,46.0,53.0
1068,39,5.0,10.0,30.0,20.0,7.0,25.0,46.0,53.0
1069,42,11.0,16.0,19.0,14.0,9.0,28.0,50.0,50.0
107,43,2.0,20.0,18.0,13.0,18.0,25.0,55.0,44.0
1070,31,3.0,9.0,16.0,25.0,29.0,16.0,58.0,41.0
1071,35,5.0,22.0,14.0,25.0,22.0,8.0,71.0,28.0
1072,41,4.0,21.0,26.0,26.0,7.0,12.0,48.0,51.0
1073,41,7.0,21.0,9.0,24.0,14.0,21.0,58.0,41.0
1074,25,16.0,28.0,16.0,24.0,4.0,12.0,40.0,60.0
1075,28,10.0,17.0,14.0,25.0,10.0,21.0,53.0,46.0
1076,32,3.0,31.0,15.0,28.0,3.0,18.0,34.0,65.0
1077,55,10.0,16.0,25.0,20.0,7.0,20.0,60.0,40.0
1078,37,8.0,13.0,32.0,16.0,8.0,21.0,62.0,37.0
1079,49,6.0,22.0,14.0,18.0,12.0,26.0,63.0,36.0
108,44,6.0,25.0,18.0,13.0,20.0,15.0,50.0,50.0
1080,33,0.0,15.0,27.0,18.0,15.0,24.0,57.0,42.0
1081,49,16.0,20.0,18.0,14.0,14.0,16.0,36.0,63.0
1082,49,12.0,20.0,22.0,22.0,16.0,6.0,55.0,44.0
1083,42,2.0,16.0,23.0,33.0,11.0,11.0,54.0,45.0
1084,42,11.0,21.0,26.0,11.0,19.0,9.0,57.0,42.0
1085,38,0.0,23.0,18.0,21.0,5.0,31.0,52.0,47.0
1086,38,7.0,36.0,23.0,15.0,5.0,10.0,47.0,52.0
1087,47,12.0,25.0,12.0,36.0,4.0,8.0,51.0,48.0
1088,36,8.0,19.0,25.0,16.0,11.0,19.0,44.0,55.0
1089,43,9.0,30.0,18.0,20.0,9.0,11.0,53.0,46.0
109,42,23.0,21.0,14.0,21.0,9.0,9.0,35.0,64.0
1090,49,6.0,26.0,24.0,16.0,10.0,16.0,57.0,42.0
1091,42,4.0,19.0,26.0,28.0,9.0,11.0,57.0,42.0
1092,36,5.0,19.0,16.0,27.0,19.0,11.0,52.0,47.0
1093,52,19.0,21.0,11.0,19.0,7.0,21.0,40.0,59.0
1094,32,3.0,15.0,31.0,15.0,9.0,25.0,59.0,40.0
1095,36,11.0,19.0,33.0,8.0,2.0,25.0,47.0,52.0
1096,48,10.0,29.0,20.0,12.0,8.0,18.0,35.0,64.0
1097,39,5.0,25.0,15.0,15.0,5.0,33.0,46.0,53.0
