ip_id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month
22,9.0,6.0,9.0,8.0,3.0,5.0,8.0,2.0,3.0,0.0,9.0,0.0,1.0,10.0,6.0,13.0,9.25,5711.4521494709
23,5.0,9.0,7.0,7.0,8.0,3.0,8.0,6.0,5.0,0.0,12.0,1.0,2.0,8.0,6.0,13.0,8.33333333333333,6266.98343138343
24,8.0,7.0,3.0,7.0,4.0,8.0,6.0,5.0,6.0,0.0,11.0,0.0,3.0,14.0,6.0,10.0,8.16666666666667,5391.51037157287
25,8.0,9.0,11.0,8.0,4.0,3.0,5.0,3.0,5.0,1.0,11.0,1.0,1.0,12.0,5.0,9.0,8.0,5306.4087512025
26,4.0,7.0,6.0,6.0,5.0,3.0,10.0,8.0,3.0,0.0,15.0,1.0,3.0,11.0,5.0,7.0,7.75,5163.949125180379
27,14.0,7.0,8.0,4.0,0.0,1.0,8.0,5.0,5.0,0.0,12.0,0.0,1.0,13.0,4.0,8.0,9.33333333333333,5286.01742424242
28,9.0,5.0,11.0,3.0,2.0,6.0,6.0,7.0,4.0,0.0,12.0,0.0,0.0,15.0,5.0,9.0,10.0,5123.531203403079
29,6.0,8.0,10.0,5.0,3.0,2.0,9.0,5.0,3.0,1.0,13.0,2.0,1.0,10.0,4.0,12.0,7.83333333333333,6129.372379009879
30,10.0,8.0,12.0,7.0,2.0,4.0,12.0,9.0,1.0,0.0,8.0,0.0,0.0,10.0,2.0,8.0,9.0,5294.135416666671
31,8.0,9.0,15.0,7.0,6.0,3.0,5.0,5.0,2.0,0.0,6.0,2.0,5.0,7.0,3.0,11.0,7.75,4585.72634680135
32,6.0,3.0,12.0,7.0,2.0,1.0,3.0,6.0,2.0,0.0,12.0,0.0,4.0,12.0,9.0,14.0,7.33333333333333,5544.36501322751
33,11.0,5.0,10.0,8.0,2.0,1.0,5.0,8.0,0.0,1.0,3.0,1.0,1.0,15.0,8.0,16.0,7.16666666666667,5458.530241402121
34,10.0,9.0,8.0,13.0,2.0,2.0,5.0,7.0,6.0,2.0,7.0,1.0,2.0,9.0,3.0,6.0,7.58333333333333,4364.894681938429
35,8.0,8.0,6.0,9.0,2.0,4.0,9.0,3.0,6.0,1.0,12.0,0.0,4.0,9.0,5.0,9.0,7.91666666666667,5066.97186147186
36,5.0,4.0,11.0,6.0,5.0,3.0,14.0,4.0,4.0,0.0,6.0,3.0,3.0,9.0,6.0,13.0,8.0,4672.91668701669
37,11.0,5.0,7.0,5.0,2.0,2.0,12.0,5.0,2.0,0.0,10.0,0.0,8.0,11.0,9.0,8.0,8.08333333333333,5338.7120039682595
38,8.0,12.0,6.0,8.0,1.0,1.0,5.0,6.0,7.0,0.0,13.0,0.0,2.0,6.0,4.0,11.0,8.83333333333333,4784.36650895401
39,7.0,8.0,7.0,7.0,4.0,5.0,11.0,3.0,6.0,0.0,11.0,0.0,1.0,8.0,6.0,11.0,7.91666666666667,5620.07652417027
40,9.0,3.0,14.0,10.0,1.0,3.0,6.0,5.0,3.0,0.0,7.0,1.0,3.0,11.0,7.0,11.0,7.83333333333333,4645.2631974507
41,11.0,10.0,5.0,4.0,2.0,2.0,8.0,6.0,3.0,1.0,8.0,1.0,4.0,14.0,4.0,11.0,7.83333333333333,4783.49408577534
42,11.0,8.0,9.0,6.0,1.0,4.0,4.0,6.0,1.0,0.0,11.0,0.0,3.0,12.0,7.0,11.0,6.75,4801.1875
43,11.0,12.0,10.0,5.0,1.0,1.0,12.0,5.0,3.0,0.0,6.0,0.0,2.0,8.0,5.0,8.0,8.66666666666667,5469.9873034372995
44,10.0,10.0,7.0,14.0,1.0,0.0,10.0,3.0,1.0,0.0,8.0,0.0,0.0,11.0,4.0,9.0,8.5,5138.10052285677
45,15.0,9.0,14.0,5.0,3.0,4.0,7.0,6.0,1.0,0.0,8.0,0.0,1.0,6.0,2.0,7.0,8.5,6002.1437018999495
46,7.0,4.0,10.0,14.0,2.0,1.0,7.0,4.0,4.0,0.0,19.0,1.0,1.0,11.0,1.0,8.0,7.66666666666667,5836.86671823547
47,10.0,8.0,6.0,12.0,0.0,2.0,11.0,1.0,1.0,0.0,11.0,2.0,4.0,5.0,6.0,8.0,8.5,5931.41931309431
48,9.0,10.0,11.0,4.0,6.0,1.0,8.0,3.0,3.0,0.0,6.0,1.0,4.0,8.0,7.0,12.0,7.75,6129.965480352979
49,15.0,3.0,11.0,4.0,6.0,3.0,9.0,1.0,3.0,0.0,6.0,1.0,1.0,12.0,7.0,11.0,7.33333333333333,5950.248569023571
50,10.0,3.0,12.0,12.0,2.0,3.0,9.0,6.0,2.0,0.0,4.0,0.0,0.0,9.0,8.0,13.0,6.83333333333333,5445.520039682539
51,6.0,10.0,12.0,7.0,5.0,5.0,7.0,4.0,3.0,0.0,8.0,2.0,2.0,10.0,2.0,9.0,9.75,5401.048809523811
52,8.0,5.0,8.0,8.0,3.0,9.0,8.0,3.0,7.0,0.0,4.0,1.0,1.0,12.0,4.0,12.0,7.58333333333333,4636.279629629629
53,2.0,5.0,10.0,6.0,1.0,6.0,8.0,5.0,6.0,0.0,8.0,0.0,3.0,13.0,6.0,13.0,7.41666666666667,4695.32986111111
54,8.0,4.0,7.0,9.0,3.0,4.0,7.0,5.0,5.0,0.0,9.0,0.0,2.0,8.0,8.0,13.0,8.91666666666667,4964.6017466329995
55,10.0,5.0,10.0,10.0,7.0,8.0,3.0,3.0,2.0,0.0,10.0,1.0,1.0,13.0,4.0,8.0,7.5,5056.75946969697
56,3.0,3.0,13.0,13.0,3.0,7.0,9.0,3.0,4.0,2.0,7.0,0.0,3.0,8.0,6.0,13.0,8.08333333333333,5923.89705387205
57,7.0,3.0,4.0,8.0,2.0,5.0,7.0,7.0,4.0,0.0,14.0,1.0,2.0,12.0,5.0,12.0,7.5,6077.615376984129
58,7.0,7.0,7.0,2.0,5.0,3.0,14.0,4.0,0.0,0.0,10.0,1.0,1.0,21.0,5.0,8.0,7.08333333333333,4799.518055555561
59,14.0,5.0,6.0,7.0,2.0,5.0,6.0,5.0,6.0,0.0,7.0,1.0,1.0,15.0,5.0,6.0,9.83333333333333,4810.07316919192
60,7.0,6.0,10.0,4.0,6.0,4.0,9.0,6.0,6.0,0.0,9.0,2.0,0.0,10.0,3.0,10.0,6.83333333333333,4721.84990079365
61,11.0,5.0,7.0,9.0,1.0,4.0,9.0,8.0,4.0,0.0,8.0,0.0,5.0,15.0,2.0,5.0,7.08333333333333,5582.299621212121
62,13.0,8.0,10.0,2.0,0.0,4.0,4.0,7.0,4.0,1.0,13.0,1.0,0.0,13.0,5.0,10.0,5.75,5475.185714285711
63,4.0,7.0,7.0,10.0,1.0,8.0,7.0,2.0,7.0,0.0,14.0,0.0,0.0,9.0,7.0,12.0,7.91666666666667,5924.06155626781
64,4.0,4.0,9.0,14.0,0.0,4.0,10.0,6.0,4.0,0.0,6.0,0.0,3.0,10.0,6.0,11.0,8.75,4736.80018939394
65,11.0,5.0,8.0,11.0,1.0,7.0,10.0,5.0,4.0,0.0,5.0,0.0,2.0,10.0,2.0,11.0,9.83333333333333,5547.7477027602
66,10.0,7.0,9.0,6.0,2.0,7.0,8.0,7.0,5.0,0.0,5.0,1.0,4.0,13.0,3.0,7.0,7.83333333333333,4649.35132275132
67,7.0,9.0,6.0,10.0,3.0,9.0,4.0,5.0,2.0,0.0,6.0,3.0,0.0,8.0,8.0,12.0,7.58333333333333,4989.63627044252
68,10.0,8.0,9.0,8.0,4.0,3.0,9.0,3.0,9.0,0.0,7.0,0.0,0.0,5.0,6.0,11.0,7.66666666666667,4796.03847101972
69,4.0,10.0,5.0,4.0,1.0,6.0,7.0,6.0,7.0,1.0,11.0,1.0,4.0,14.0,2.0,10.0,7.66666666666667,5239.02162420912
70,9.0,3.0,12.0,6.0,4.0,3.0,14.0,7.0,6.0,1.0,8.0,0.0,1.0,7.0,5.0,10.0,8.0,5450.81553330928
71,6.0,6.0,8.0,13.0,4.0,3.0,7.0,7.0,7.0,0.0,9.0,2.0,3.0,9.0,4.0,7.0,7.91666666666667,5335.837953944199
72,10.0,11.0,6.0,2.0,1.0,2.0,8.0,7.0,2.0,0.0,9.0,0.0,1.0,19.0,7.0,9.0,9.08333333333333,5065.87789201539
73,14.0,9.0,7.0,9.0,0.0,3.0,6.0,9.0,3.0,1.0,7.0,1.0,1.0,5.0,7.0,9.0,8.91666666666667,5270.8868085618105
74,6.0,9.0,10.0,6.0,2.0,5.0,6.0,3.0,3.0,0.0,13.0,0.0,3.0,12.0,5.0,9.0,7.25,5808.88008658009
75,6.0,4.0,5.0,7.0,1.0,2.0,10.0,4.0,4.0,0.0,9.0,0.0,0.0,18.0,6.0,10.0,9.18181818181818,4677.908813408811
76,2.0,9.0,13.0,8.0,0.0,4.0,10.0,5.0,5.0,0.0,8.0,0.0,3.0,13.0,5.0,5.0,9.0,5526.32796092796
77,5.0,12.0,15.0,7.0,4.0,1.0,7.0,3.0,0.0,0.0,7.0,2.0,3.0,11.0,7.0,7.0,7.33333333333333,4855.01653947904
78,5.0,10.0,5.0,7.0,4.0,4.0,9.0,4.0,6.0,0.0,11.0,1.0,0.0,9.0,11.0,7.0,7.33333333333333,5270.92171347171
79,7.0,5.0,8.0,11.0,5.0,5.0,6.0,4.0,10.0,0.0,10.0,0.0,1.0,13.0,2.0,7.0,7.5,5118.94268879269
80,11.0,5.0,11.0,10.0,3.0,5.0,5.0,5.0,2.0,0.0,7.0,0.0,3.0,11.0,2.0,12.0,9.0,5488.16504270512
81,9.0,6.0,8.0,7.0,5.0,7.0,9.0,4.0,0.0,1.0,7.0,0.0,2.0,12.0,3.0,8.0,8.66666666666667,4273.448331529579
82,5.0,7.0,4.0,9.0,2.0,6.0,7.0,4.0,6.0,0.0,7.0,2.0,5.0,14.0,6.0,8.0,7.58333333333333,5060.948280423279
83,8.0,3.0,11.0,5.0,2.0,2.0,11.0,2.0,3.0,0.0,13.0,0.0,4.0,12.0,5.0,11.0,8.91666666666667,4901.51040764791
84,11.0,9.0,9.0,9.0,1.0,1.0,5.0,2.0,3.0,0.0,13.0,0.0,1.0,12.0,8.0,6.0,8.66666666666667,6312.43000841751
85,9.0,7.0,8.0,6.0,4.0,6.0,9.0,8.0,2.0,0.0,13.0,2.0,3.0,7.0,4.0,8.0,8.0,4699.75064171939
86,7.0,4.0,16.0,8.0,4.0,2.0,6.0,5.0,3.0,1.0,13.0,0.0,3.0,12.0,6.0,10.0,8.33333333333333,4909.42426948052
87,8.0,6.0,15.0,9.0,0.0,4.0,10.0,5.0,1.0,1.0,4.0,0.0,4.0,8.0,9.0,11.0,7.91666666666667,5404.8616071428605
88,6.0,4.0,8.0,9.0,4.0,5.0,11.0,6.0,3.0,0.0,6.0,2.0,3.0,8.0,4.0,15.0,7.75,5189.03840488216
89,9.0,11.0,13.0,12.0,2.0,1.0,13.0,4.0,1.0,0.0,10.0,0.0,1.0,9.0,4.0,10.0,8.33333333333333,4827.87947931698
90,5.0,9.0,9.0,6.0,5.0,7.0,7.0,5.0,6.0,0.0,7.0,1.0,1.0,14.0,5.0,7.0,6.41666666666667,4428.6935515873
91,1.0,6.0,9.0,11.0,1.0,2.0,8.0,5.0,5.0,0.0,8.0,0.0,6.0,13.0,7.0,10.0,9.0,5120.238877655
92,11.0,7.0,3.0,10.0,4.0,6.0,11.0,2.0,4.0,0.0,11.0,0.0,2.0,10.0,6.0,8.0,7.91666666666667,5782.667983405479
93,10.0,9.0,12.0,7.0,4.0,5.0,8.0,4.0,2.0,1.0,10.0,1.0,5.0,7.0,6.0,8.0,8.25,4663.00257936508
94,5.0,10.0,8.0,6.0,3.0,4.0,9.0,4.0,2.0,0.0,15.0,3.0,3.0,10.0,4.0,9.0,8.63636363636364,5606.97338065974
95,3.0,7.0,6.0,7.0,5.0,5.0,9.0,3.0,6.0,0.0,10.0,0.0,1.0,12.0,5.0,13.0,8.83333333333333,4848.28499139749
96,10.0,8.0,8.0,7.0,0.0,5.0,8.0,1.0,1.0,0.0,13.0,0.0,0.0,12.0,3.0,11.0,8.5,4465.23098568099
97,13.0,3.0,10.0,7.0,3.0,4.0,14.0,2.0,6.0,0.0,7.0,1.0,1.0,8.0,4.0,9.0,9.16666666666667,5162.758516483521
98,9.0,6.0,15.0,9.0,4.0,6.0,9.0,8.0,5.0,0.0,5.0,0.0,0.0,4.0,10.0,3.0,7.16666666666667,5974.711850649351
99,11.0,5.0,11.0,6.0,6.0,6.0,5.0,1.0,5.0,1.0,4.0,0.0,2.0,10.0,8.0,11.0,7.25,4832.03954263329
100,4.0,7.0,14.0,10.0,1.0,5.0,8.0,7.0,1.0,0.0,9.0,0.0,1.0,12.0,4.0,8.0,8.75,4548.61211219336
101,8.0,5.0,8.0,7.0,3.0,5.0,8.0,3.0,4.0,0.0,7.0,0.0,4.0,6.0,9.0,11.0,8.66666666666667,5070.45806508306
102,10.0,3.0,14.0,9.0,3.0,6.0,11.0,4.0,6.0,0.0,9.0,0.0,3.0,4.0,2.0,4.0,8.58333333333333,5015.2376803751795
103,6.0,9.0,6.0,5.0,6.0,5.0,9.0,2.0,3.0,1.0,12.0,1.0,2.0,17.0,5.0,6.0,7.91666666666667,5369.36697191697
104,13.0,6.0,4.0,8.0,4.0,1.0,3.0,7.0,6.0,0.0,9.0,0.0,2.0,11.0,3.0,10.0,8.41666666666667,5220.53977625688
105,8.0,9.0,13.0,10.0,5.0,5.0,10.0,5.0,4.0,1.0,5.0,0.0,1.0,6.0,4.0,13.0,8.25,5158.58629449255
106,11.0,9.0,7.0,8.0,4.0,2.0,12.0,2.0,6.0,0.0,10.0,2.0,3.0,5.0,2.0,13.0,8.0,4628.1380952381
107,10.0,6.0,10.0,7.0,3.0,1.0,12.0,4.0,6.0,0.0,8.0,0.0,4.0,6.0,6.0,9.0,7.58333333333333,5030.64234607985
108,8.0,9.0,3.0,5.0,1.0,4.0,9.0,6.0,2.0,1.0,13.0,0.0,3.0,8.0,1.0,13.0,8.5,5373.376041666671
109,12.0,4.0,13.0,7.0,3.0,3.0,9.0,3.0,8.0,1.0,5.0,2.0,2.0,8.0,3.0,12.0,7.91666666666667,4886.417503561261
110,9.0,5.0,11.0,4.0,4.0,3.0,9.0,2.0,3.0,0.0,10.0,1.0,5.0,14.0,3.0,13.0,8.0,5400.29811507937
111,6.0,7.0,10.0,9.0,3.0,3.0,5.0,5.0,4.0,0.0,7.0,1.0,2.0,16.0,8.0,10.0,8.0,4653.82479256854
112,9.0,7.0,14.0,7.0,0.0,2.0,7.0,4.0,7.0,0.0,9.0,0.0,0.0,11.0,5.0,5.0,8.41666666666667,4778.28887987013
113,7.0,8.0,11.0,6.0,2.0,6.0,12.0,3.0,3.0,0.0,13.0,0.0,0.0,10.0,3.0,9.0,7.75,5385.53888888889
114,2.0,10.0,7.0,6.0,2.0,3.0,5.0,3.0,5.0,0.0,16.0,3.0,3.0,12.0,7.0,10.0,6.66666666666667,5277.704292929289
115,6.0,4.0,10.0,8.0,2.0,4.0,7.0,2.0,4.0,1.0,8.0,1.0,6.0,15.0,8.0,7.0,7.66666666666667,4817.54233405483
116,5.0,3.0,10.0,4.0,6.0,3.0,6.0,5.0,6.0,0.0,13.0,0.0,1.0,21.0,3.0,7.0,7.58333333333333,5399.858417508421
117,6.0,8.0,12.0,4.0,3.0,4.0,8.0,5.0,6.0,0.0,12.0,1.0,3.0,6.0,8.0,6.0,9.66666666666667,5172.0771903205705
118,1.0,10.0,13.0,8.0,6.0,4.0,5.0,6.0,1.0,0.0,8.0,0.0,2.0,11.0,4.0,13.0,9.08333333333333,4994.01161465849
119,6.0,12.0,10.0,2.0,3.0,2.0,6.0,3.0,2.0,0.0,9.0,1.0,3.0,13.0,4.0,16.0,7.16666666666667,5368.3285233285205
120,8.0,9.0,10.0,5.0,2.0,5.0,6.0,6.0,3.0,0.0,14.0,1.0,1.0,8.0,6.0,6.0,8.75,4944.98406084656
121,9.0,9.0,12.0,10.0,2.0,2.0,5.0,8.0,5.0,0.0,7.0,0.0,2.0,6.0,5.0,12.0,9.25,5902.29426707552
122,3.0,4.0,7.0,15.0,5.0,6.0,5.0,11.0,3.0,0.0,7.0,2.0,1.0,12.0,2.0,10.0,7.41666666666667,5448.63271265771
123,8.0,8.0,7.0,12.0,2.0,5.0,3.0,5.0,2.0,1.0,9.0,2.0,3.0,10.0,3.0,11.0,9.08333333333333,5582.742321567321
124,6.0,8.0,6.0,9.0,2.0,8.0,5.0,4.0,5.0,0.0,15.0,1.0,0.0,5.0,4.0,8.0,8.5,4809.599540043289
125,9.0,6.0,17.0,4.0,1.0,5.0,13.0,2.0,3.0,0.0,9.0,0.0,1.0,8.0,3.0,9.0,8.66666666666667,5657.28578874829
126,6.0,5.0,13.0,9.0,0.0,7.0,6.0,2.0,1.0,0.0,10.0,0.0,5.0,17.0,2.0,10.0,7.58333333333333,6087.01927910053
127,7.0,5.0,12.0,8.0,1.0,3.0,5.0,3.0,0.0,0.0,13.0,0.0,4.0,16.0,5.0,8.0,8.83333333333333,4260.17488275613
128,7.0,5.0,5.0,11.0,3.0,8.0,6.0,3.0,4.0,0.0,14.0,0.0,1.0,12.0,5.0,10.0,7.5,5942.71511243386
129,10.0,7.0,8.0,7.0,1.0,0.0,11.0,2.0,7.0,0.0,11.0,1.0,4.0,14.0,5.0,12.0,8.33333333333333,4631.15959387834
130,6.0,7.0,12.0,7.0,1.0,6.0,8.0,6.0,2.0,0.0,8.0,1.0,7.0,12.0,4.0,13.0,8.33333333333333,5814.98941798942
131,8.0,7.0,13.0,10.0,2.0,4.0,6.0,1.0,6.0,1.0,15.0,2.0,3.0,6.0,4.0,7.0,7.91666666666667,4423.72886904762
132,12.0,2.0,13.0,6.0,6.0,3.0,10.0,2.0,3.0,0.0,14.0,0.0,4.0,8.0,9.0,8.0,8.33333333333333,5087.9842957968
133,11.0,9.0,7.0,10.0,5.0,3.0,6.0,3.0,2.0,0.0,11.0,1.0,1.0,10.0,5.0,10.0,7.33333333333333,4865.03536324786
134,7.0,6.0,9.0,6.0,4.0,6.0,13.0,4.0,5.0,0.0,10.0,0.0,0.0,9.0,7.0,13.0,8.25,4954.27784090909
135,9.0,7.0,8.0,6.0,2.0,2.0,11.0,3.0,5.0,0.0,8.0,0.0,1.0,14.0,7.0,9.0,9.0,5069.54643620269
136,4.0,8.0,7.0,5.0,1.0,2.0,8.0,6.0,4.0,0.0,9.0,1.0,4.0,19.0,10.0,12.0,8.33333333333333,4983.02389369889
137,6.0,9.0,12.0,13.0,4.0,2.0,11.0,3.0,2.0,2.0,10.0,1.0,2.0,4.0,2.0,11.0,7.33333333333333,5484.19810155123
138,4.0,7.0,3.0,10.0,3.0,7.0,10.0,6.0,8.0,0.0,11.0,1.0,2.0,10.0,2.0,11.0,7.91666666666667,5297.406191493689
139,3.0,9.0,10.0,8.0,4.0,3.0,8.0,2.0,4.0,1.0,7.0,1.0,1.0,13.0,5.0,17.0,8.0,4544.66788720539
140,9.0,5.0,7.0,6.0,6.0,1.0,12.0,1.0,4.0,0.0,6.0,3.0,5.0,15.0,6.0,9.0,7.91666666666667,5221.49398749399
141,10.0,8.0,10.0,8.0,4.0,7.0,6.0,5.0,6.0,0.0,8.0,0.0,3.0,9.0,2.0,8.0,7.83333333333333,3883.4705026455
142,5.0,7.0,9.0,7.0,1.0,4.0,16.0,2.0,5.0,0.0,5.0,1.0,2.0,8.0,8.0,13.0,7.58333333333333,4791.63935693936
143,8.0,7.0,5.0,13.0,3.0,3.0,5.0,2.0,2.0,0.0,12.0,0.0,0.0,10.0,7.0,11.0,8.41666666666667,6107.12958453583
144,7.0,0.0,5.0,8.0,3.0,3.0,10.0,6.0,3.0,1.0,10.0,0.0,7.0,12.0,7.0,13.0,7.91666666666667,4454.927489177489
145,10.0,5.0,4.0,5.0,4.0,1.0,7.0,5.0,8.0,0.0,9.0,2.0,4.0,12.0,7.0,11.0,7.83333333333333,5173.24446248196
146,8.0,2.0,9.0,8.0,1.0,2.0,11.0,4.0,11.0,0.0,10.0,0.0,0.0,13.0,8.0,9.0,7.25,6193.70092592593
147,7.0,1.0,11.0,8.0,2.0,9.0,10.0,5.0,1.0,0.0,9.0,1.0,0.0,10.0,7.0,9.0,8.75,5379.4644751082205
148,12.0,9.0,10.0,6.0,1.0,5.0,8.0,5.0,6.0,0.0,5.0,0.0,1.0,16.0,6.0,4.0,6.16666666666667,5545.75985449735
149,6.0,4.0,12.0,9.0,2.0,5.0,9.0,4.0,5.0,0.0,5.0,1.0,2.0,14.0,5.0,9.0,7.25,4932.81871091871
150,8.0,10.0,6.0,6.0,2.0,3.0,15.0,6.0,4.0,0.0,10.0,0.0,1.0,13.0,5.0,6.0,7.91666666666667,5064.9488997114
151,7.0,6.0,12.0,7.0,2.0,2.0,11.0,6.0,5.0,0.0,10.0,2.0,2.0,9.0,3.0,14.0,8.16666666666667,4680.14381868132
152,7.0,4.0,9.0,5.0,4.0,3.0,5.0,5.0,3.0,0.0,12.0,0.0,2.0,15.0,7.0,10.0,10.6666666666667,4999.548073271761
153,7.0,3.0,7.0,7.0,1.0,2.0,7.0,4.0,7.0,0.0,12.0,1.0,3.0,15.0,5.0,14.0,7.08333333333333,5712.8483509545995
154,7.0,14.0,4.0,9.0,3.0,8.0,8.0,3.0,6.0,1.0,7.0,0.0,4.0,14.0,4.0,8.0,8.33333333333333,4821.55380291005
155,12.0,7.0,4.0,6.0,1.0,3.0,8.0,6.0,5.0,0.0,9.0,1.0,0.0,9.0,7.0,17.0,7.91666666666667,5773.97707431457
156,8.0,10.0,8.0,8.0,4.0,4.0,7.0,7.0,2.0,1.0,10.0,1.0,6.0,9.0,3.0,10.0,8.16666666666667,4803.144411375661
157,9.0,6.0,11.0,11.0,1.0,5.0,8.0,4.0,4.0,1.0,6.0,0.0,1.0,9.0,6.0,4.0,8.5,5294.9929563492105
158,4.0,8.0,7.0,7.0,4.0,5.0,5.0,3.0,6.0,0.0,12.0,1.0,0.0,8.0,8.0,13.0,7.41666666666667,4918.92961459836
159,4.0,3.0,4.0,9.0,3.0,10.0,7.0,8.0,8.0,1.0,7.0,0.0,3.0,13.0,4.0,10.0,7.83333333333333,4703.95836940837
160,9.0,8.0,11.0,6.0,1.0,5.0,8.0,7.0,4.0,0.0,5.0,1.0,3.0,7.0,7.0,11.0,7.75,5301.688870851371
161,8.0,7.0,8.0,5.0,2.0,3.0,6.0,3.0,3.0,0.0,9.0,0.0,3.0,16.0,5.0,14.0,9.08333333333333,5449.564337051839
162,5.0,9.0,8.0,12.0,1.0,4.0,8.0,4.0,7.0,0.0,7.0,0.0,2.0,12.0,6.0,10.0,10.4166666666667,5665.786002886
163,7.0,9.0,8.0,11.0,6.0,2.0,10.0,7.0,6.0,2.0,8.0,2.0,2.0,7.0,1.0,10.0,8.16666666666667,5474.57958638584
164,4.0,9.0,9.0,11.0,2.0,4.0,4.0,7.0,7.0,0.0,12.0,0.0,0.0,13.0,4.0,7.0,8.91666666666667,4658.3952457265
165,14.0,10.0,9.0,6.0,4.0,2.0,6.0,2.0,4.0,0.0,17.0,0.0,1.0,9.0,3.0,7.0,7.33333333333333,5041.6293650793605
166,6.0,8.0,14.0,6.0,3.0,4.0,12.0,3.0,4.0,0.0,10.0,3.0,1.0,10.0,4.0,12.0,8.33333333333333,5343.49193555627
167,9.0,11.0,8.0,8.0,2.0,2.0,9.0,4.0,7.0,0.0,6.0,3.0,3.0,8.0,3.0,12.0,7.91666666666667,5720.88958333333
168,6.0,9.0,12.0,3.0,1.0,3.0,10.0,3.0,5.0,0.0,12.0,0.0,0.0,13.0,4.0,7.0,8.5,5297.434969796
169,7.0,5.0,10.0,5.0,1.0,3.0,12.0,1.0,3.0,0.0,12.0,0.0,2.0,10.0,5.0,11.0,8.58333333333333,5244.361145227321
170,11.0,2.0,9.0,6.0,1.0,5.0,13.0,3.0,1.0,0.0,9.0,1.0,1.0,12.0,7.0,6.0,8.5,4806.44526098901
171,13.0,6.0,11.0,10.0,1.0,3.0,6.0,4.0,5.0,0.0,11.0,0.0,3.0,12.0,3.0,9.0,8.08333333333333,4824.77132906581
