ip_id,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR
10031,4.33333333333333,13349.5208333333,26,0.0,38.0,0.0,61.0,0.0,0.0,26.0,73.0
10032,3.14285714285714,12436.0238095238,22,0.0,0.0,68.0,31.0,0.0,0.0,27.0,72.0
10034,10.7142857142857,10943.1326330532,75,0.0,4.0,58.0,22.0,5.0,9.0,50.0,49.0
10036,14.8571428571429,14565.2239579261,104,0.0,0.0,50.0,38.0,2.0,6.0,30.0,69.0
10037,7.71428571428571,29708.4991278563,54,0.0,5.0,37.0,27.0,16.0,12.0,44.0,55.0
10038,17.7142857142857,62727.4605383023,124,0.0,5.0,84.0,4.0,0.0,4.0,49.0,50.0
10039,8.33333333333333,9453.33947811448,50,0.0,2.0,46.0,32.0,2.0,18.0,30.0,70.0
1004,3.54545454545455,4726.53701298701,39,5.0,10.0,28.0,23.0,12.0,20.0,51.0,48.0
10040,38.6666666666667,25926.5578136101,232,5.0,0.0,59.0,31.0,2.0,0.0,33.0,66.0
10041,20.4285714285714,11536.0658441558,143,0.0,0.0,51.0,36.0,3.0,7.0,48.0,51.0
10042,3.71428571428571,18833.8023809524,26,0.0,0.0,38.0,38.0,0.0,23.0,42.0,57.0
10043,5.66666666666667,20099.8032106782,34,0.0,0.0,11.0,55.0,0.0,32.0,32.0,67.0
10044,5.28571428571429,13135.9380952381,37,2.0,8.0,35.0,43.0,10.0,0.0,43.0,56.0
10046,3.0,8106.42857142857,12,0.0,41.0,0.0,58.0,0.0,0.0,50.0,50.0
10048,6.0,16504.5680272109,42,0.0,7.0,38.0,40.0,0.0,14.0,28.0,71.0
10049,4.0,13723.8638888889,24,0.0,62.0,0.0,37.0,0.0,0.0,58.0,41.0
1005,4.45454545454545,5689.73322510823,49,10.0,24.0,26.0,6.0,12.0,20.0,46.0,53.0
10051,5.42857142857143,10104.6285714286,38,0.0,0.0,81.0,5.0,13.0,0.0,44.0,55.0
10053,2.14285714285714,12613.2261904762,15,0.0,0.0,33.0,66.0,0.0,0.0,33.0,66.0
10055,1.0,2521.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
10056,23.1428571428571,19235.1706283069,162,0.0,6.0,49.0,29.0,14.0,0.0,51.0,48.0
10057,5.0,20182.5828695114,35,0.0,17.0,74.0,8.0,0.0,0.0,40.0,60.0
10058,1.0,3680.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10059,6.57142857142857,13047.9129045558,46,0.0,21.0,52.0,23.0,2.0,0.0,52.0,47.0
1006,3.25,6876.09722222222,39,15.0,12.0,20.0,10.0,10.0,30.0,48.0,51.0
10060,1.4,13366.4,7,0.0,0.0,28.0,71.0,0.0,0.0,71.0,28.0
10061,6.85714285714286,23584.3404761905,48,0.0,0.0,58.0,29.0,0.0,12.0,27.0,72.0
10062,18.6666666666667,18086.5981620718,112,4.0,6.0,53.0,31.0,2.0,1.0,33.0,66.0
10063,5.85714285714286,13241.5129251701,41,0.0,14.0,70.0,12.0,2.0,0.0,36.0,63.0
10064,3.16666666666667,14741.9361111111,19,0.0,5.0,5.0,57.0,5.0,26.0,36.0,63.0
10065,6.66666666666667,14059.5527777778,40,0.0,7.0,40.0,37.0,2.0,12.0,22.0,77.0
10066,52.4285714285714,208563.149271305,367,1.0,29.0,50.0,14.0,1.0,1.0,67.0,32.0
10067,2.66666666666667,24513.6583333333,16,0.0,37.0,43.0,18.0,0.0,0.0,43.0,56.0
10068,5.16666666666667,13834.7904761905,31,0.0,0.0,19.0,45.0,3.0,32.0,35.0,64.0
10069,24.1428571428571,16450.1468527855,169,0.0,19.0,50.0,27.0,1.0,0.0,40.0,59.0
1007,2.72727272727273,5355.14242424242,30,0.0,6.0,30.0,20.0,10.0,33.0,53.0,46.0
10070,4.28571428571429,10349.4071428571,30,0.0,26.0,33.0,40.0,0.0,0.0,30.0,70.0
10072,5.28571428571429,12655.9619047619,37,0.0,16.0,8.0,72.0,2.0,0.0,27.0,72.0
10073,4.5,15116.5777777778,27,0.0,3.0,77.0,0.0,0.0,18.0,29.0,70.0
10074,1.66666666666667,15014.4166666667,10,0.0,0.0,0.0,60.0,0.0,40.0,40.0,60.0
10075,4.16666666666667,12728.5861111111,25,0.0,40.0,0.0,44.0,0.0,16.0,44.0,56.0
10076,9.83333333333333,17623.0657768158,59,1.0,11.0,40.0,42.0,1.0,1.0,25.0,74.0
10077,7.33333333333333,24610.7955026455,44,0.0,13.0,40.0,43.0,2.0,0.0,34.0,65.0
10078,6.85714285714286,21600.026984127,48,0.0,2.0,29.0,50.0,6.0,12.0,25.0,75.0
1008,2.66666666666667,5564.10813492064,32,6.0,31.0,21.0,9.0,9.0,21.0,46.0,53.0
10080,2.0,15937.5,2,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0
10081,11.5,12770.8413175876,69,2.0,17.0,42.0,31.0,5.0,0.0,39.0,60.0
10082,1.0,15501.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10083,2.42857142857143,16029.380952381,17,0.0,0.0,17.0,52.0,0.0,29.0,29.0,70.0
10084,16.7142857142857,14355.4195578231,117,11.0,0.0,53.0,33.0,0.0,0.0,42.0,57.0
10087,2.14285714285714,19945.5,15,0.0,40.0,13.0,46.0,0.0,0.0,53.0,46.0
10088,18.1666666666667,16016.5764171003,109,1.0,0.0,66.0,21.0,1.0,7.0,44.0,55.0
10089,11.5714285714286,13174.4077088325,81,0.0,1.0,56.0,27.0,14.0,0.0,44.0,55.0
1009,3.4,4563.09761904762,34,2.0,20.0,20.0,23.0,11.0,20.0,61.0,38.0
10090,4.28571428571429,25192.5952380952,30,0.0,23.0,56.0,16.0,0.0,3.0,40.0,60.0
10093,3.33333333333333,19449.5416666667,20,0.0,35.0,60.0,5.0,0.0,0.0,50.0,50.0
10094,3.16666666666667,9414.08333333333,19,0.0,52.0,31.0,15.0,0.0,0.0,52.0,47.0
10095,13.2857142857143,21617.8749607535,93,0.0,37.0,24.0,10.0,0.0,26.0,50.0,49.0
10096,5.71428571428571,13749.1825139147,40,0.0,0.0,37.0,42.0,5.0,15.0,40.0,60.0
10098,3.71428571428571,17522.3555555556,26,0.0,15.0,23.0,50.0,0.0,11.0,42.0,57.0
10099,5.14285714285714,10177.7071428571,36,0.0,0.0,44.0,30.0,5.0,19.0,38.0,61.0
101,2.90909090909091,5700.69696969697,32,12.0,21.0,21.0,15.0,9.0,18.0,50.0,50.0
1010,2.91666666666667,6036.98333333333,35,11.0,17.0,22.0,11.0,17.0,20.0,60.0,40.0
10100,7.57142857142857,17226.4821428571,53,0.0,11.0,47.0,24.0,16.0,0.0,43.0,56.0
10101,12.2857142857143,166454.412107535,86,0.0,54.0,41.0,2.0,1.0,0.0,56.0,43.0
10102,12.1428571428571,25134.7698676324,85,0.0,7.0,44.0,40.0,8.0,0.0,16.0,83.0
10103,6.42857142857143,16328.9233560091,45,0.0,15.0,35.0,44.0,4.0,0.0,35.0,64.0
10104,16.8571428571429,19764.97756574,118,5.0,2.0,54.0,25.0,5.0,5.0,38.0,61.0
10105,4.85714285714286,16080.0142857143,34,0.0,2.0,0.0,70.0,5.0,20.0,26.0,73.0
10106,8.0,34560.1365800866,56,0.0,7.0,55.0,25.0,0.0,12.0,33.0,66.0
10107,7.28571428571429,10273.0536796537,51,0.0,1.0,37.0,37.0,3.0,19.0,31.0,68.0
10108,14.2857142857143,18025.5058745721,100,0.0,0.0,58.0,26.0,5.0,11.0,44.0,56.0
10109,4.42857142857143,15530.1126984127,31,0.0,35.0,6.0,58.0,0.0,0.0,41.0,58.0
1011,3.36363636363636,6537.13257575757,37,2.0,8.0,35.0,24.0,10.0,18.0,64.0,35.0
10110,12.5714285714286,23434.5091089466,88,0.0,9.0,53.0,37.0,0.0,0.0,45.0,54.0
10111,8.16666666666667,120766.630753968,49,0.0,10.0,0.0,55.0,34.0,0.0,40.0,59.0
10112,7.28571428571429,10447.1404761905,51,7.0,13.0,27.0,45.0,5.0,0.0,37.0,62.0
10113,9.42857142857143,13550.112585034,66,0.0,12.0,28.0,48.0,4.0,6.0,24.0,75.0
10114,1.0,4769.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10115,7.0,14421.4428571429,49,0.0,26.0,8.0,63.0,2.0,0.0,36.0,63.0
10116,11.5714285714286,11067.3003246753,81,3.0,7.0,39.0,45.0,2.0,1.0,45.0,54.0
10117,17.5714285714286,23946.4286996003,123,1.0,7.0,59.0,21.0,1.0,8.0,28.0,71.0
10118,27.5714285714286,30110.6847076668,193,0.0,4.0,73.0,12.0,7.0,2.0,53.0,46.0
10119,5.2,13309.2777777778,26,0.0,11.0,69.0,15.0,3.0,0.0,42.0,57.0
1012,2.54545454545455,5139.79090909091,28,21.0,21.0,14.0,28.0,7.0,7.0,35.0,64.0
10120,9.85714285714286,9726.20459183674,69,5.0,23.0,49.0,20.0,1.0,0.0,34.0,65.0
10122,10.4285714285714,13907.8013653014,73,0.0,4.0,47.0,31.0,1.0,15.0,32.0,67.0
10123,10.0,11836.1744897959,70,5.0,15.0,50.0,24.0,0.0,4.0,25.0,74.0
10124,7.57142857142857,11270.4769230769,53,0.0,0.0,64.0,15.0,0.0,20.0,49.0,50.0
10125,16.4285714285714,20687.3127472527,115,1.0,3.0,39.0,42.0,4.0,8.0,45.0,54.0
10126,2.66666666666667,19138.1805555556,16,0.0,56.0,0.0,43.0,0.0,0.0,56.0,43.0
10128,17.2857142857143,15901.7185093734,121,1.0,4.0,56.0,27.0,9.0,0.0,48.0,51.0
10129,13.1428571428571,11012.5079973484,92,1.0,1.0,67.0,20.0,8.0,1.0,43.0,56.0
1013,2.66666666666667,5252.87638888889,32,6.0,25.0,15.0,21.0,9.0,21.0,56.0,43.0
10130,19.5714285714286,13479.9945889537,137,0.0,12.0,45.0,32.0,9.0,0.0,42.0,57.0
10131,10.8571428571429,19744.2831320726,76,0.0,3.0,36.0,38.0,13.0,7.0,34.0,65.0
10132,1.0,15858.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10133,9.33333333333333,13361.2928451178,56,0.0,12.0,10.0,48.0,14.0,14.0,51.0,48.0
10134,5.14285714285714,16618.6275510204,36,0.0,27.0,30.0,36.0,0.0,5.0,38.0,61.0
10135,4.16666666666667,19315.7361111111,25,0.0,20.0,28.0,40.0,8.0,4.0,32.0,68.0
10136,2.5,10606.4166666667,15,0.0,0.0,60.0,40.0,0.0,0.0,40.0,60.0
10137,13.0,18203.2485185185,78,1.0,5.0,48.0,26.0,17.0,0.0,43.0,56.0
10138,2.0,24736.5,12,0.0,50.0,8.0,41.0,0.0,0.0,50.0,50.0
10139,4.85714285714286,12848.793877551,34,0.0,2.0,44.0,52.0,0.0,0.0,38.0,61.0
1014,2.27272727272727,3563.66666666667,25,12.0,28.0,12.0,20.0,12.0,16.0,40.0,60.0
10140,11.4285714285714,12204.6238811314,80,3.0,0.0,51.0,30.0,6.0,8.0,33.0,66.0
10142,15.7142857142857,20881.6158306327,110,0.0,4.0,50.0,31.0,5.0,7.0,22.0,77.0
10143,9.14285714285714,11859.6079931973,64,3.0,9.0,12.0,73.0,1.0,0.0,28.0,71.0
10144,5.83333333333333,12701.0380952381,35,0.0,0.0,8.0,68.0,0.0,22.0,42.0,57.0
10145,8.42857142857143,28465.4671550672,59,0.0,13.0,0.0,77.0,5.0,3.0,20.0,79.0
10146,8.0,12062.646679198,56,0.0,12.0,64.0,19.0,0.0,3.0,37.0,62.0
10147,6.0,7927.16666666667,6,0.0,16.0,33.0,50.0,0.0,0.0,50.0,50.0
10148,12.1428571428571,14463.4613861739,85,0.0,8.0,40.0,48.0,1.0,2.0,40.0,60.0
10149,3.57142857142857,13148.6156462585,25,0.0,8.0,36.0,40.0,16.0,0.0,28.0,72.0
1015,3.5,5128.07916666667,42,11.0,26.0,16.0,19.0,14.0,11.0,38.0,61.0
10150,10.4285714285714,18933.4730859784,73,0.0,10.0,1.0,65.0,6.0,15.0,34.0,65.0
10151,4.0,14776.9388888889,24,0.0,0.0,0.0,75.0,0.0,25.0,33.0,66.0
10152,4.85714285714286,23319.3146258503,34,0.0,20.0,17.0,55.0,5.0,0.0,41.0,58.0
10153,3.0,7101.33333333333,3,0.0,66.0,0.0,33.0,0.0,0.0,66.0,33.0
10154,15.2857142857143,10564.1819727891,107,0.0,1.0,59.0,20.0,8.0,9.0,52.0,47.0
10155,2.42857142857143,21534.6119047619,17,0.0,35.0,11.0,52.0,0.0,0.0,52.0,47.0
10156,5.42857142857143,23309.1047619048,38,0.0,18.0,28.0,44.0,2.0,5.0,39.0,60.0
10157,1.75,28133.5,7,0.0,0.0,0.0,100.0,0.0,0.0,42.0,57.0
10158,8.85714285714286,8671.23458684173,62,0.0,9.0,67.0,17.0,4.0,0.0,33.0,66.0
1016,3.08333333333333,5675.53472222222,37,13.0,13.0,21.0,24.0,10.0,16.0,43.0,56.0
10160,5.83333333333333,16331.4906746032,35,0.0,17.0,20.0,62.0,0.0,0.0,28.0,71.0
10161,1.0,1374.0,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
10162,4.14285714285714,14001.855952381,29,0.0,0.0,48.0,34.0,10.0,6.0,31.0,68.0
10163,6.57142857142857,15075.4887806638,46,0.0,0.0,58.0,41.0,0.0,0.0,39.0,60.0
10164,1.0,18438.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10165,18.8571428571429,21503.9868013872,132,0.0,8.0,65.0,21.0,3.0,0.0,38.0,61.0
10166,16.1428571428571,11302.4345454545,113,0.0,7.0,46.0,26.0,11.0,7.0,40.0,59.0
10167,7.16666666666667,16577.0283730159,43,2.0,13.0,53.0,30.0,0.0,0.0,39.0,60.0
10168,4.4,21423.0107142857,22,0.0,22.0,72.0,4.0,0.0,0.0,50.0,50.0
10169,8.5,13076.0,51,1.0,27.0,29.0,33.0,5.0,1.0,19.0,80.0
1017,2.54545454545455,6410.10606060606,28,14.0,35.0,10.0,14.0,0.0,25.0,35.0,64.0
10170,8.0,13572.053481241,48,0.0,2.0,52.0,31.0,6.0,8.0,27.0,72.0
10171,1.0,3329.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10172,5.28571428571429,8452.91836734694,37,0.0,0.0,35.0,37.0,0.0,27.0,27.0,72.0
10173,4.85714285714286,15536.062244898,34,0.0,0.0,0.0,70.0,5.0,23.0,29.0,70.0
10174,1.66666666666667,16946.5,10,0.0,60.0,0.0,40.0,0.0,0.0,50.0,50.0
10175,10.2857142857143,13153.3228021978,72,0.0,0.0,30.0,44.0,6.0,18.0,43.0,56.0
10176,2.28571428571429,12643.8571428571,16,0.0,18.0,43.0,0.0,37.0,0.0,62.0,37.0
10177,5.14285714285714,8905.04761904762,36,2.0,11.0,2.0,50.0,0.0,33.0,41.0,58.0
10179,5.85714285714286,17937.5409863946,41,0.0,24.0,24.0,51.0,0.0,0.0,31.0,68.0
1018,3.58333333333333,4923.36041666667,43,11.0,16.0,30.0,23.0,2.0,16.0,37.0,62.0
10180,4.33333333333333,20027.4777777778,26,0.0,15.0,3.0,57.0,0.0,23.0,34.0,65.0
10181,20.0,21662.0348775017,120,0.0,4.0,60.0,29.0,5.0,0.0,35.0,64.0
10182,3.0,18792.9476190476,21,0.0,0.0,0.0,71.0,0.0,28.0,28.0,71.0
10183,2.66666666666667,22360.4166666667,16,0.0,12.0,0.0,43.0,0.0,43.0,56.0,43.0
10184,3.5,8567.20833333333,7,0.0,14.0,42.0,42.0,0.0,0.0,57.0,42.0
10185,6.42857142857143,11353.4804421769,45,0.0,26.0,11.0,60.0,0.0,2.0,28.0,71.0
10186,1.0,6403.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10188,16.6666666666667,10669.9289473684,100,0.0,3.0,46.0,51.0,0.0,0.0,54.0,46.0
10189,3.16666666666667,13831.9861111111,19,0.0,5.0,42.0,26.0,26.0,0.0,42.0,57.0
1019,2.83333333333333,4283.06944444444,34,17.0,14.0,26.0,11.0,14.0,14.0,47.0,52.0
10190,15.5714285714286,23396.0434396431,109,0.0,11.0,54.0,23.0,10.0,0.0,32.0,67.0
10191,8.85714285714286,12602.383895866,62,0.0,25.0,30.0,32.0,11.0,0.0,56.0,43.0
10192,8.83333333333333,22424.8176027676,53,1.0,11.0,60.0,22.0,3.0,0.0,49.0,50.0
10193,29.0,277243.335084695,203,0.0,37.0,58.0,3.0,0.0,0.0,52.0,47.0
10194,18.8333333333333,34450.673930776,113,0.0,10.0,50.0,30.0,2.0,5.0,63.0,36.0
10195,1.0,1774.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10196,6.85714285714286,14149.5560966811,48,0.0,10.0,35.0,54.0,0.0,0.0,47.0,52.0
10197,11.0,18105.3591736695,66,0.0,10.0,1.0,77.0,7.0,3.0,22.0,77.0
10198,4.28571428571429,17857.1785714286,30,0.0,20.0,23.0,23.0,0.0,33.0,40.0,60.0
10199,4.5,16006.4166666667,9,0.0,11.0,33.0,55.0,0.0,0.0,55.0,44.0
102,2.45454545454545,6507.48787878788,27,3.0,33.0,18.0,40.0,0.0,3.0,62.0,37.0
1020,3.36363636363636,6227.35606060606,37,5.0,16.0,18.0,35.0,8.0,16.0,56.0,43.0
10201,4.28571428571429,11084.619047619,30,0.0,3.0,13.0,60.0,3.0,20.0,33.0,66.0
10203,1.0,13680.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10204,7.16666666666667,20118.7625,43,0.0,4.0,62.0,13.0,4.0,13.0,44.0,55.0
10205,9.28571428571429,12478.4091836735,65,0.0,9.0,29.0,53.0,7.0,0.0,41.0,58.0
10206,6.0,9273.32070707071,42,0.0,21.0,54.0,16.0,7.0,0.0,30.0,69.0
10207,6.28571428571429,15404.1743764172,44,0.0,22.0,34.0,34.0,9.0,0.0,36.0,63.0
10208,10.7142857142857,10092.0421657707,75,0.0,10.0,49.0,36.0,2.0,1.0,37.0,62.0
10209,10.1666666666667,16446.8989297739,61,0.0,16.0,65.0,18.0,0.0,0.0,45.0,54.0
1021,4.25,5041.55694444444,51,13.0,19.0,15.0,19.0,13.0,17.0,45.0,54.0
10210,29.8571428571429,15876.6455026369,209,1.0,4.0,48.0,17.0,28.0,0.0,50.0,49.0
10211,7.0,9820.20714285714,49,0.0,2.0,57.0,22.0,0.0,18.0,34.0,65.0
10212,5.85714285714286,12871.5492063492,41,0.0,19.0,31.0,48.0,0.0,0.0,43.0,56.0
10213,7.57142857142857,15701.551984127,53,0.0,9.0,24.0,47.0,1.0,16.0,32.0,67.0
10214,30.2857142857143,30680.5711966005,212,0.0,7.0,38.0,37.0,15.0,0.0,33.0,66.0
10215,2.75,6914.5,11,0.0,0.0,9.0,90.0,0.0,0.0,45.0,54.0
10216,45.4285714285714,48672.5291863095,318,9.0,1.0,65.0,20.0,2.0,0.0,41.0,58.0
10217,16.0,12144.8487257104,112,0.0,5.0,35.0,46.0,9.0,2.0,33.0,66.0
10218,6.66666666666667,19001.9209656085,40,0.0,22.0,37.0,40.0,0.0,0.0,20.0,80.0
10219,15.2857142857143,15450.8106842737,107,0.0,0.0,44.0,43.0,2.0,8.0,31.0,68.0
1022,3.8,4947.93166666667,38,15.0,28.0,13.0,23.0,0.0,18.0,36.0,63.0
10220,5.83333333333333,16094.4503968254,35,0.0,0.0,42.0,34.0,8.0,14.0,37.0,62.0
10222,1.0,982.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10223,1.0,20770.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10224,5.0,14768.3387755102,35,0.0,17.0,31.0,51.0,0.0,0.0,20.0,80.0
10225,2.85714285714286,15555.9642857143,20,0.0,0.0,0.0,70.0,0.0,30.0,30.0,70.0
10226,5.14285714285714,47318.6452380952,36,0.0,5.0,33.0,58.0,0.0,2.0,36.0,63.0
10227,2.0,7031.5,6,0.0,0.0,50.0,33.0,16.0,0.0,66.0,33.0
10228,6.33333333333333,15540.6788461538,38,0.0,7.0,26.0,39.0,2.0,23.0,34.0,65.0
10229,13.4285714285714,16976.6138605442,94,0.0,3.0,45.0,32.0,12.0,5.0,40.0,59.0
1023,3.75,5187.47916666667,45,15.0,24.0,20.0,15.0,4.0,20.0,51.0,48.0
10230,8.14285714285714,45952.325,57,0.0,42.0,7.0,50.0,0.0,0.0,45.0,54.0
10231,1.0,6732.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10232,2.0,6288.0,2,0.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0
10234,14.0,28598.2349119135,98,2.0,26.0,54.0,15.0,2.0,0.0,54.0,45.0
10235,3.0,23673.2583333333,15,0.0,13.0,53.0,20.0,6.0,6.0,40.0,60.0
10236,2.71428571428571,19242.7023809524,19,0.0,26.0,0.0,73.0,0.0,0.0,26.0,73.0
10237,9.83333333333333,27409.2493589744,59,10.0,0.0,30.0,52.0,6.0,0.0,28.0,71.0
10238,42.0,26941.2475708306,294,0.0,3.0,32.0,44.0,19.0,0.0,38.0,61.0
10239,9.14285714285714,27146.3587301587,64,6.0,14.0,25.0,53.0,1.0,0.0,28.0,71.0
1024,3.27272727272727,4220.81753246753,36,13.0,16.0,16.0,16.0,16.0,19.0,55.0,44.0
10240,3.0,24459.0,3,0.0,0.0,66.0,33.0,0.0,0.0,33.0,66.0
10241,4.5,16985.7138888889,27,0.0,0.0,29.0,51.0,0.0,18.0,22.0,77.0
10242,6.28571428571429,12369.2660648875,44,0.0,2.0,38.0,47.0,11.0,0.0,38.0,61.0
10243,1.0,7410.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
10245,22.0,15441.042973693,154,0.0,8.0,71.0,13.0,3.0,3.0,48.0,51.0
10246,14.8571428571429,13252.3738095238,104,0.0,2.0,55.0,23.0,6.0,10.0,54.0,45.0
10247,18.8571428571429,10947.7831227106,132,2.0,5.0,50.0,34.0,4.0,3.0,39.0,60.0
10248,18.0,56391.2387573211,108,0.0,15.0,76.0,7.0,0.0,0.0,37.0,62.0
10249,8.71428571428571,10375.9615848437,61,6.0,1.0,36.0,52.0,1.0,1.0,31.0,68.0
1025,4.0,4239.9354978355,44,6.0,15.0,20.0,31.0,9.0,15.0,43.0,56.0
10250,4.0,16059.6182539683,24,0.0,4.0,33.0,37.0,0.0,25.0,33.0,66.0
10251,4.28571428571429,24743.5884353741,30,0.0,3.0,6.0,60.0,3.0,26.0,33.0,66.0
10252,13.5714285714286,24798.7737107921,95,9.0,1.0,46.0,41.0,2.0,0.0,28.0,71.0
10253,2.42857142857143,19968.5476190476,17,0.0,29.0,17.0,52.0,0.0,0.0,47.0,52.0
10254,2.66666666666667,9805.13888888889,16,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0
10255,1.0,7113.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10256,6.42857142857143,11558.3256235828,45,2.0,4.0,26.0,44.0,2.0,20.0,24.0,75.0
10257,8.0,16220.7637188209,56,0.0,14.0,0.0,42.0,42.0,0.0,57.0,42.0
10258,1.0,14294.0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
10259,1.0,15549.0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
1026,3.0,4277.68194444445,36,13.0,0.0,25.0,33.0,16.0,11.0,44.0,55.0
10260,5.0,10765.3563492064,35,0.0,5.0,0.0,71.0,5.0,17.0,28.0,71.0
10261,21.4285714285714,53640.6498544341,150,2.0,12.0,61.0,20.0,3.0,0.0,45.0,54.0
10263,5.42857142857143,26141.7372294372,38,0.0,31.0,18.0,28.0,0.0,21.0,42.0,57.0
10265,11.7142857142857,27143.0502164502,82,0.0,8.0,13.0,71.0,6.0,0.0,42.0,57.0
10267,1.0,2358.0,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
