ip_id,label,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR
22,0.0,1974.0,2013-12-03,0.0,47494.0,1016093.0,2.0,4.0,6.0,7,9.0,6.0,9.0,8.0,3.0,5.0,8.0,2.0,3.0,0.0,9.0,0.0,1.0,10.0,6.0,13.0,9.25,5711.4521494709,3.6363636363636402,6574.654545454539,40.0,2.0,20.0,12.0,22.0,20.0,22.0,55.0,45.0
23,0.0,1984.0,2010-08-17,0.0,44339.0,311823.0,1.0,2.0,6.0,3,5.0,9.0,7.0,7.0,8.0,3.0,8.0,6.0,5.0,0.0,12.0,1.0,2.0,8.0,6.0,13.0,8.33333333333333,6266.98343138343,3.0,4064.24305555556,36.0,2.0,22.0,13.0,33.0,11.0,16.0,52.0,47.0
24,0.0,1982.0,2006-08-06,0.0,42461.0,500.0,1.0,4.0,1.0,5,8.0,7.0,3.0,7.0,4.0,8.0,6.0,5.0,6.0,0.0,11.0,0.0,3.0,14.0,6.0,10.0,8.16666666666667,5391.51037157287,3.2,4567.655,32.0,6.0,15.0,12.0,18.0,18.0,28.0,59.0,40.0
25,0.0,1984.0,2011-01-03,0.0,50038.0,500.0,1.0,1.0,1.0,12,8.0,9.0,11.0,8.0,4.0,3.0,5.0,3.0,5.0,1.0,11.0,1.0,1.0,12.0,5.0,9.0,8.0,5306.4087512025,3.1666666666666696,5499.830555555561,38.0,7.0,10.0,26.0,23.0,15.0,15.0,52.0,47.0
26,0.0,1987.0,2012-10-16,2.0,42263.0,382008.0,1.0,1.0,3.0,7,4.0,7.0,6.0,6.0,5.0,3.0,10.0,8.0,3.0,0.0,15.0,1.0,3.0,11.0,5.0,7.0,7.75,5163.949125180379,3.6666666666666696,4453.22817460317,44.0,6.0,20.0,22.0,13.0,9.0,27.0,52.0,47.0
27,0.0,1981.0,2011-09-22,0.0,46058.0,500.0,2.0,2.0,3.0,11,14.0,7.0,8.0,4.0,0.0,1.0,8.0,5.0,5.0,0.0,12.0,0.0,1.0,13.0,4.0,8.0,9.33333333333333,5286.01742424242,3.75,5869.929563492061,45.0,6.0,26.0,20.0,15.0,15.0,15.0,64.0,35.0
28,0.0,1979.0,2010-07-31,1.0,47459.0,500.0,1.0,3.0,1.0,2,9.0,5.0,11.0,3.0,2.0,6.0,6.0,7.0,4.0,0.0,12.0,0.0,0.0,15.0,5.0,9.0,10.0,5123.531203403079,3.1666666666666696,5412.56011904762,38.0,10.0,23.0,15.0,18.0,10.0,21.0,50.0,50.0
29,0.0,1981.0,2011-03-31,0.0,46190.0,731969.0,1.0,1.0,3.0,6,6.0,8.0,10.0,5.0,3.0,2.0,9.0,5.0,3.0,1.0,13.0,2.0,1.0,10.0,4.0,12.0,7.83333333333333,6129.372379009879,3.3,5899.33666666667,33.0,12.0,21.0,18.0,24.0,6.0,18.0,51.0,48.0
30,0.0,1983.0,2007-12-12,0.0,42028.0,500.0,2.0,2.0,1.0,3,10.0,8.0,12.0,7.0,2.0,4.0,12.0,9.0,1.0,0.0,8.0,0.0,0.0,10.0,2.0,8.0,9.0,5294.135416666671,4.0,3836.5367965368,44.0,0.0,9.0,31.0,22.0,11.0,25.0,59.0,40.0
31,0.0,1990.0,2007-02-01,0.0,40194.0,1247643.0,2.0,4.0,2.0,7,8.0,9.0,15.0,7.0,6.0,3.0,5.0,5.0,2.0,0.0,6.0,2.0,5.0,7.0,3.0,11.0,7.75,4585.72634680135,3.3636363636363598,4841.16060606061,37.0,13.0,29.0,24.0,16.0,5.0,10.0,45.0,54.0
32,0.0,1984.0,2010-08-05,0.0,46893.0,500.0,1.0,4.0,4.0,1,6.0,3.0,12.0,7.0,2.0,1.0,3.0,6.0,2.0,0.0,12.0,0.0,4.0,12.0,9.0,14.0,7.33333333333333,5544.36501322751,4.41666666666667,6400.379563492061,53.0,7.0,22.0,16.0,20.0,13.0,18.0,62.0,37.0
33,0.0,1981.0,2011-09-17,0.0,40057.0,365640.0,2.0,2.0,2.0,9,11.0,5.0,10.0,8.0,2.0,1.0,5.0,8.0,0.0,1.0,3.0,1.0,1.0,15.0,8.0,16.0,7.16666666666667,5458.530241402121,3.09090909090909,5085.53787878788,34.0,8.0,17.0,17.0,20.0,8.0,26.0,44.0,55.0
34,0.0,1978.0,2008-05-12,0.0,46484.0,500.0,1.0,1.0,3.0,6,10.0,9.0,8.0,13.0,2.0,2.0,5.0,7.0,6.0,2.0,7.0,1.0,2.0,9.0,3.0,6.0,7.58333333333333,4364.894681938429,3.0,6813.1487012987,33.0,6.0,18.0,27.0,30.0,9.0,9.0,36.0,63.0
35,0.0,1985.0,2012-01-23,0.0,47048.0,808283.0,2.0,2.0,1.0,8,8.0,8.0,6.0,9.0,2.0,4.0,9.0,3.0,6.0,1.0,12.0,0.0,4.0,9.0,5.0,9.0,7.91666666666667,5066.97186147186,2.81818181818182,3724.0606060606106,31.0,16.0,16.0,22.0,22.0,6.0,16.0,48.0,51.0
36,0.0,1978.0,2011-08-22,0.0,46897.0,500.0,2.0,1.0,4.0,9,5.0,4.0,11.0,6.0,5.0,3.0,14.0,4.0,4.0,0.0,6.0,3.0,3.0,9.0,6.0,13.0,8.0,4672.91668701669,2.81818181818182,4551.43636363636,31.0,12.0,19.0,9.0,29.0,3.0,25.0,45.0,54.0
37,0.0,1980.0,2016-04-03,0.0,43541.0,500.0,2.0,2.0,5.0,9,11.0,5.0,7.0,5.0,2.0,2.0,12.0,5.0,2.0,0.0,10.0,0.0,8.0,11.0,9.0,8.0,8.08333333333333,5338.7120039682595,3.18181818181818,5189.15909090909,35.0,22.0,28.0,8.0,22.0,5.0,11.0,40.0,60.0
38,0.0,1982.0,2011-12-02,0.0,41488.0,500.0,1.0,1.0,4.0,4,8.0,12.0,6.0,8.0,1.0,1.0,5.0,6.0,7.0,0.0,13.0,0.0,2.0,6.0,4.0,11.0,8.83333333333333,4784.36650895401,2.8333333333333304,4441.664682539679,34.0,11.0,38.0,14.0,11.0,2.0,20.0,52.0,47.0
39,0.0,1983.0,2007-03-01,2.0,51293.0,786539.0,2.0,1.0,2.0,11,7.0,8.0,7.0,7.0,4.0,5.0,11.0,3.0,6.0,0.0,11.0,0.0,1.0,8.0,6.0,11.0,7.91666666666667,5620.07652417027,3.1666666666666696,4542.04027777778,38.0,2.0,31.0,21.0,21.0,10.0,13.0,44.0,55.0
40,0.0,1984.0,2010-07-30,0.0,44021.0,376487.0,1.0,3.0,1.0,4,9.0,3.0,14.0,10.0,1.0,3.0,6.0,5.0,3.0,0.0,7.0,1.0,3.0,11.0,7.0,11.0,7.83333333333333,4645.2631974507,3.9166666666666696,4772.74583333333,47.0,19.0,23.0,12.0,12.0,6.0,25.0,53.0,46.0
41,0.0,1978.0,2011-06-06,0.0,44690.0,500.0,1.0,3.0,6.0,1,11.0,10.0,5.0,4.0,2.0,2.0,8.0,6.0,3.0,1.0,8.0,1.0,4.0,14.0,4.0,11.0,7.83333333333333,4783.49408577534,3.09090909090909,6426.648917748921,34.0,8.0,20.0,29.0,11.0,17.0,11.0,55.0,44.0
42,0.0,1983.0,2009-09-19,1.0,43978.0,500.0,1.0,1.0,1.0,8,11.0,8.0,9.0,6.0,1.0,4.0,4.0,6.0,1.0,0.0,11.0,0.0,3.0,12.0,7.0,11.0,6.75,4801.1875,3.6666666666666696,6296.67685185185,44.0,9.0,22.0,15.0,15.0,15.0,20.0,45.0,54.0
43,0.0,1983.0,2005-09-06,0.0,41801.0,48533.0,2.0,4.0,6.0,9,11.0,12.0,10.0,5.0,1.0,1.0,12.0,5.0,3.0,0.0,6.0,0.0,2.0,8.0,5.0,8.0,8.66666666666667,5469.9873034372995,2.5833333333333304,5808.975,31.0,9.0,32.0,3.0,25.0,16.0,12.0,45.0,54.0
44,0.0,1982.0,2011-10-10,1.0,40475.0,500.0,1.0,4.0,6.0,8,10.0,10.0,7.0,14.0,1.0,0.0,10.0,3.0,1.0,0.0,8.0,0.0,0.0,11.0,4.0,9.0,8.5,5138.10052285677,3.5,6170.42103174603,42.0,14.0,16.0,21.0,23.0,9.0,14.0,42.0,57.0
45,0.0,1987.0,2006-05-29,0.0,40843.0,500.0,1.0,1.0,5.0,12,15.0,9.0,14.0,5.0,3.0,4.0,7.0,6.0,1.0,0.0,8.0,0.0,1.0,6.0,2.0,7.0,8.5,6002.1437018999495,3.25,4940.95138888889,39.0,17.0,12.0,17.0,23.0,7.0,20.0,56.0,43.0
46,0.0,1978.0,2006-09-28,0.0,51922.0,500.0,2.0,2.0,5.0,2,7.0,4.0,10.0,14.0,2.0,1.0,7.0,4.0,4.0,0.0,19.0,1.0,1.0,11.0,1.0,8.0,7.66666666666667,5836.86671823547,2.7272727272727297,6096.142424242429,30.0,6.0,13.0,30.0,16.0,16.0,16.0,63.0,36.0
47,0.0,1982.0,2010-07-30,0.0,41720.0,1409864.0,1.0,3.0,3.0,2,10.0,8.0,6.0,12.0,0.0,2.0,11.0,1.0,1.0,0.0,11.0,2.0,4.0,5.0,6.0,8.0,8.5,5931.41931309431,3.5833333333333304,5805.90456349206,43.0,11.0,20.0,16.0,25.0,4.0,20.0,41.0,58.0
48,0.0,1972.0,2010-08-14,1.0,40791.0,500.0,1.0,1.0,4.0,8,9.0,10.0,11.0,4.0,6.0,1.0,8.0,3.0,3.0,0.0,6.0,1.0,4.0,8.0,7.0,12.0,7.75,6129.965480352979,3.25,5836.9513888888905,39.0,12.0,12.0,12.0,17.0,15.0,28.0,64.0,35.0
49,0.0,1983.0,2013-04-22,0.0,44908.0,500.0,1.0,1.0,6.0,5,15.0,3.0,11.0,4.0,6.0,3.0,9.0,1.0,3.0,0.0,6.0,1.0,1.0,12.0,7.0,11.0,7.33333333333333,5950.248569023571,2.8333333333333304,5587.3888888888905,34.0,17.0,14.0,11.0,23.0,14.0,17.0,50.0,50.0
50,0.0,1979.0,2010-12-28,2.0,44238.0,158388.0,1.0,1.0,1.0,3,10.0,3.0,12.0,12.0,2.0,3.0,9.0,6.0,2.0,0.0,4.0,0.0,0.0,9.0,8.0,13.0,6.83333333333333,5445.520039682539,3.25,5285.952777777779,39.0,12.0,23.0,28.0,15.0,7.0,12.0,46.0,53.0
51,0.0,1989.0,2008-01-29,0.0,44408.0,135484.0,1.0,2.0,4.0,6,6.0,10.0,12.0,7.0,5.0,5.0,7.0,4.0,3.0,0.0,8.0,2.0,2.0,10.0,2.0,9.0,9.75,5401.048809523811,3.25,7791.96984126984,39.0,15.0,10.0,12.0,28.0,5.0,28.0,48.0,51.0
52,0.0,1977.0,2014-03-07,0.0,41261.0,500.0,1.0,1.0,4.0,3,8.0,5.0,8.0,8.0,3.0,9.0,8.0,3.0,7.0,0.0,4.0,1.0,1.0,12.0,4.0,12.0,7.58333333333333,4636.279629629629,3.25,5822.08333333333,39.0,12.0,17.0,35.0,15.0,7.0,10.0,53.0,46.0
53,0.0,1983.0,2014-03-17,0.0,38783.0,35482.0,1.0,4.0,5.0,1,2.0,5.0,10.0,6.0,1.0,6.0,8.0,5.0,6.0,0.0,8.0,0.0,3.0,13.0,6.0,13.0,7.41666666666667,4695.32986111111,3.54545454545455,5404.3484848484795,39.0,7.0,20.0,23.0,20.0,15.0,12.0,51.0,48.0
54,0.0,1983.0,2011-04-21,0.0,42495.0,599543.0,2.0,4.0,1.0,8,8.0,4.0,7.0,9.0,3.0,4.0,7.0,5.0,5.0,0.0,9.0,0.0,2.0,8.0,8.0,13.0,8.91666666666667,4964.6017466329995,2.8333333333333304,5303.395833333329,34.0,5.0,11.0,14.0,35.0,11.0,20.0,55.0,44.0
55,0.0,1986.0,2010-12-22,0.0,42218.0,500.0,1.0,3.0,1.0,3,10.0,5.0,10.0,10.0,7.0,8.0,3.0,3.0,2.0,0.0,10.0,1.0,1.0,13.0,4.0,8.0,7.5,5056.75946969697,3.45454545454545,5179.95995670996,38.0,7.0,21.0,23.0,23.0,13.0,10.0,71.0,28.0
56,0.0,1982.0,2012-04-06,0.0,42813.0,500.0,1.0,3.0,5.0,6,3.0,3.0,13.0,13.0,3.0,7.0,9.0,3.0,4.0,2.0,7.0,0.0,3.0,8.0,6.0,13.0,8.08333333333333,5923.89705387205,3.3,5396.86666666667,33.0,9.0,24.0,15.0,21.0,18.0,12.0,54.0,45.0
57,0.0,1979.0,2004-03-14,0.0,42792.0,500.0,2.0,4.0,6.0,9,7.0,3.0,4.0,8.0,2.0,5.0,7.0,7.0,4.0,0.0,14.0,1.0,2.0,12.0,5.0,12.0,7.5,6077.615376984129,3.5833333333333304,5150.27361111111,43.0,9.0,18.0,20.0,25.0,6.0,18.0,39.0,60.0
58,0.0,1977.0,2012-11-16,1.0,36157.0,15151.0,2.0,1.0,2.0,7,7.0,7.0,7.0,2.0,5.0,3.0,14.0,4.0,0.0,0.0,10.0,1.0,1.0,21.0,5.0,8.0,7.08333333333333,4799.518055555561,3.1666666666666696,6034.21666666667,38.0,13.0,15.0,18.0,13.0,13.0,26.0,55.0,44.0
59,0.0,1979.0,2011-07-10,0.0,46609.0,500.0,1.0,4.0,1.0,1,14.0,5.0,6.0,7.0,2.0,5.0,6.0,5.0,6.0,0.0,7.0,1.0,1.0,15.0,5.0,6.0,9.83333333333333,4810.07316919192,3.5,5168.608333333329,35.0,8.0,22.0,14.0,25.0,2.0,25.0,57.0,42.0
60,0.0,1981.0,2011-06-15,1.0,47255.0,160357.0,2.0,4.0,3.0,2,7.0,6.0,10.0,4.0,6.0,4.0,9.0,6.0,6.0,0.0,9.0,2.0,0.0,10.0,3.0,10.0,6.83333333333333,4721.84990079365,3.9,6492.49047619048,39.0,12.0,15.0,25.0,7.0,10.0,28.0,43.0,56.0
61,0.0,1982.0,2010-11-07,1.0,49586.0,582765.0,2.0,4.0,2.0,8,11.0,5.0,7.0,9.0,1.0,4.0,9.0,8.0,4.0,0.0,8.0,0.0,5.0,15.0,2.0,5.0,7.08333333333333,5582.299621212121,3.1666666666666696,4317.192361111111,38.0,7.0,26.0,5.0,26.0,7.0,26.0,65.0,34.0
62,0.0,1979.0,2006-10-12,0.0,35749.0,500.0,1.0,4.0,4.0,7,13.0,8.0,10.0,2.0,0.0,4.0,4.0,7.0,4.0,1.0,13.0,1.0,0.0,13.0,5.0,10.0,5.75,5475.185714285711,3.4166666666666696,5324.61111111111,41.0,9.0,14.0,24.0,21.0,4.0,24.0,53.0,46.0
63,0.0,1977.0,2003-12-27,0.0,38260.0,70446.0,1.0,3.0,6.0,8,4.0,7.0,7.0,10.0,1.0,8.0,7.0,2.0,7.0,0.0,14.0,0.0,0.0,9.0,7.0,12.0,7.91666666666667,5924.06155626781,4.0,6479.44090909091,44.0,9.0,15.0,18.0,20.0,11.0,25.0,50.0,50.0
64,0.0,1974.0,2008-12-27,1.0,43105.0,378126.0,1.0,3.0,6.0,3,4.0,4.0,9.0,14.0,0.0,4.0,10.0,6.0,4.0,0.0,6.0,0.0,3.0,10.0,6.0,11.0,8.75,4736.80018939394,3.25,4994.520833333329,39.0,10.0,15.0,28.0,15.0,7.0,23.0,53.0,46.0
65,0.0,1978.0,2008-11-23,0.0,46152.0,306623.0,1.0,4.0,2.0,5,11.0,5.0,8.0,11.0,1.0,7.0,10.0,5.0,4.0,0.0,5.0,0.0,2.0,10.0,2.0,11.0,9.83333333333333,5547.7477027602,3.75,4971.31111111111,45.0,4.0,20.0,31.0,6.0,8.0,28.0,48.0,51.0
66,0.0,1979.0,2010-08-13,0.0,46355.0,447969.0,1.0,2.0,2.0,9,10.0,7.0,9.0,6.0,2.0,7.0,8.0,7.0,5.0,0.0,5.0,1.0,4.0,13.0,3.0,7.0,7.83333333333333,4649.35132275132,3.2,6162.54666666667,32.0,9.0,28.0,21.0,34.0,6.0,0.0,53.0,46.0
67,0.0,1982.0,2011-08-01,0.0,42679.0,500.0,2.0,3.0,2.0,11,7.0,9.0,6.0,10.0,3.0,9.0,4.0,5.0,2.0,0.0,6.0,3.0,0.0,8.0,8.0,12.0,7.58333333333333,4989.63627044252,2.75,7209.7361111111095,33.0,6.0,21.0,15.0,15.0,15.0,27.0,54.0,45.0
68,0.0,1975.0,2013-11-10,0.0,44211.0,459755.0,2.0,3.0,1.0,5,10.0,8.0,9.0,8.0,4.0,3.0,9.0,3.0,9.0,0.0,7.0,0.0,0.0,5.0,6.0,11.0,7.66666666666667,4796.03847101972,3.6666666666666696,4654.91180555556,44.0,9.0,22.0,22.0,20.0,4.0,20.0,56.0,43.0
69,0.0,1978.0,2007-09-13,0.0,46547.0,500.0,1.0,2.0,5.0,8,4.0,10.0,5.0,4.0,1.0,6.0,7.0,6.0,7.0,1.0,11.0,1.0,4.0,14.0,2.0,10.0,7.66666666666667,5239.02162420912,3.3636363636363598,6019.14545454546,37.0,5.0,24.0,24.0,16.0,16.0,13.0,54.0,45.0
70,0.0,1978.0,2011-10-27,0.0,45105.0,500.0,2.0,3.0,4.0,5,9.0,3.0,12.0,6.0,4.0,3.0,14.0,7.0,6.0,1.0,8.0,0.0,1.0,7.0,5.0,10.0,8.0,5450.81553330928,3.4166666666666696,5825.23333333333,41.0,12.0,17.0,17.0,21.0,9.0,21.0,58.0,41.0
71,0.0,1984.0,2011-07-14,0.0,50552.0,500.0,2.0,1.0,1.0,3,6.0,6.0,8.0,13.0,4.0,3.0,7.0,7.0,7.0,0.0,9.0,2.0,3.0,9.0,4.0,7.0,7.91666666666667,5335.837953944199,3.7272727272727297,4700.68181818182,41.0,9.0,7.0,24.0,31.0,7.0,19.0,46.0,53.0
72,0.0,1976.0,2007-10-10,0.0,39256.0,666810.0,1.0,1.0,5.0,9,10.0,11.0,6.0,2.0,1.0,2.0,8.0,7.0,2.0,0.0,9.0,0.0,1.0,19.0,7.0,9.0,9.08333333333333,5065.87789201539,4.16666666666667,5199.89537037037,50.0,8.0,22.0,16.0,20.0,14.0,20.0,68.0,32.0
73,0.0,1979.0,2003-10-30,0.0,40848.0,893071.0,2.0,4.0,4.0,1,14.0,9.0,7.0,9.0,0.0,3.0,6.0,9.0,3.0,1.0,7.0,1.0,1.0,5.0,7.0,9.0,8.91666666666667,5270.8868085618105,3.2727272727272703,4723.45303030303,36.0,5.0,16.0,11.0,30.0,13.0,22.0,52.0,47.0
74,0.0,1987.0,2011-04-06,0.0,46711.0,224659.0,2.0,3.0,3.0,12,6.0,9.0,10.0,6.0,2.0,5.0,6.0,3.0,3.0,0.0,13.0,0.0,3.0,12.0,5.0,9.0,7.25,5808.88008658009,3.2727272727272703,4664.612121212121,36.0,25.0,11.0,13.0,22.0,11.0,16.0,47.0,52.0
75,0.0,1973.0,2012-04-16,0.0,42993.0,28342.0,2.0,4.0,5.0,8,6.0,4.0,5.0,7.0,1.0,2.0,10.0,4.0,4.0,0.0,9.0,0.0,0.0,18.0,6.0,10.0,9.18181818181818,4677.908813408811,3.25,4762.50925925926,39.0,20.0,20.0,15.0,12.0,15.0,15.0,38.0,61.0
76,0.0,1980.0,2006-04-11,0.0,50174.0,500.0,1.0,4.0,5.0,12,2.0,9.0,13.0,8.0,0.0,4.0,10.0,5.0,5.0,0.0,8.0,0.0,3.0,13.0,5.0,5.0,9.0,5526.32796092796,3.1666666666666696,5444.13194444444,38.0,13.0,21.0,15.0,10.0,23.0,15.0,47.0,52.0
77,0.0,1975.0,2012-05-08,0.0,34418.0,500.0,1.0,1.0,6.0,12,5.0,12.0,15.0,7.0,4.0,1.0,7.0,3.0,0.0,0.0,7.0,2.0,3.0,11.0,7.0,7.0,7.33333333333333,4855.01653947904,3.25,5077.733333333329,39.0,12.0,10.0,23.0,28.0,5.0,20.0,41.0,58.0
