ip_id,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month
10070,4.285714286,10349.40714,30,0,26,33,40,0,0,30,70,,,,,,,,,,,,,,,,,,
10072,5.285714286,12655.9619,37,0,16,8,72,2,0,27,72,,,,,,,,,,,,,,,,,,
10073,4.5,15116.57778,27,0,3,77,0,0,18,29,70,,,,,,,,,,,,,,,,,,
10074,1.666666667,15014.41667,10,0,0,0,60,0,40,40,60,,,,,,,,,,,,,,,,,,
10075,4.166666667,12728.58611,25,0,40,0,44,0,16,44,56,,,,,,,,,,,,,,,,,,
10076,9.833333333,17623.06578,59,1,11,40,42,1,1,25,74,0,0,0,0,0,0,0,0,0,0,5,0,0,70,0,25,3.333333333,9641.402778
10077,7.333333333,24610.7955,44,0,13,40,43,2,0,34,65,,,,,,,,,,,,,,,,,,
10078,6.857142857,21600.02698,48,0,2,29,50,6,12,25,75,6,6,12,6,0,0,0,0,0,0,12,0,0,12,6,37,2.666666667,10504.38889
1008,2.666666667,5564.108135,32,6,31,21,9,9,21,46,53,4,10,6,11,2,4,8,7,4,0,13,2,3,4,5,10,7.666666667,5407.51575
10080,2,15937.5,2,0,0,50,50,0,0,50,50,,,,,,,,,,,,,,,,,,
10081,11.5,12770.84132,69,2,17,42,31,5,0,39,60,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,64,2.833333333,5725.416667
10082,1,15501,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10083,2.428571429,16029.38095,17,0,0,17,52,0,29,29,70,,,,,,,,,,,,,,,,,,
10084,16.71428571,14355.41956,117,11,0,53,33,0,0,42,57,,,,,,,,,,,,,,,,,,
10087,2.142857143,19945.5,15,0,40,13,46,0,0,53,46,,,,,,,,,,,,,,,,,,
10088,18.16666667,16016.57642,109,1,0,66,21,1,7,44,55,,,,,,,,,,,,,,,,,,
10089,11.57142857,13174.40771,81,0,1,56,27,14,0,44,55,,,,,,,,,,,,,,,,,,
1009,3.4,4563.097619,34,2,20,20,23,11,20,61,38,9,6,13,6,5,2,5,5,2,0,12,2,2,6,4,11,6,5575.705026
10090,4.285714286,25192.59524,30,0,23,56,16,0,3,40,60,,,,,,,,,,,,,,,,,,
10093,3.333333333,19449.54167,20,0,35,60,5,0,0,50,50,,,,,,,,,,,,,,,,,,
10094,3.166666667,9414.083333,19,0,52,31,15,0,0,52,47,,,,,,,,,,,,,,,,,,
10095,13.28571429,21617.87496,93,0,37,24,10,0,26,50,49,,,,,,,,,,,,,,,,,,
10096,5.714285714,13749.18251,40,0,0,37,42,5,15,40,60,,,,,,,,,,,,,,,,,,
10098,3.714285714,17522.35556,26,0,15,23,50,0,11,42,57,,,,,,,,,,,,,,,,,,
10099,5.142857143,10177.70714,36,0,0,44,30,5,19,38,61,,,,,,,,,,,,,,,,,,
101,2.909090909,5700.69697,32,12,21,21,15,9,18,50,50,8,5,8,7,3,5,8,3,4,0,7,0,4,6,9,11,8.666666667,5070.458065
1010,2.916666667,6036.983333,35,11,17,22,11,17,20,60,40,10,9,8,11,4,4,4,2,6,0,5,0,2,10,6,8,8.583333333,6556.785264
10100,7.571428571,17226.48214,53,0,11,47,24,16,0,43,56,0,0,0,22,0,0,0,0,0,0,0,0,0,55,0,22,1.8,17936.93333
10101,12.28571429,166454.4121,86,0,54,41,2,1,0,56,43,0,7,0,0,0,42,0,0,0,0,0,0,0,0,0,50,2.333333333,27339.84722
10102,12.14285714,25134.76987,85,0,7,44,40,8,0,16,83,0,0,0,4,0,0,0,4,0,0,6,0,0,46,0,38,6.714285714,12499.81139
10103,6.428571429,16328.92336,45,0,15,35,44,4,0,35,64,,,,,,,,,,,,,,,,,,
10104,16.85714286,19764.97757,118,5,2,54,25,5,5,38,61,,,,,,,,,,,,,,,,,,
10105,4.857142857,16080.01429,34,0,2,0,70,5,20,26,73,,,,,,,,,,,,,,,,,,
10106,8,34560.13658,56,0,7,55,25,0,12,33,66,0,3,3,9,0,3,0,0,9,0,0,0,0,22,3,45,4.428571429,9824.848753
10107,7.285714286,10273.05368,51,0,1,37,37,3,19,31,68,,,,,,,,,,,,,,,,,,
10108,14.28571429,18025.50587,100,0,0,58,26,5,11,44,56,,,,,,,,,,,,,,,,,,
10109,4.428571429,15530.1127,31,0,35,6,58,0,0,41,58,,,,,,,,,,,,,,,,,,
1011,3.363636364,6537.132576,37,2,8,35,24,10,18,64,35,9,7,4,13,2,2,8,3,5,0,13,1,2,8,9,10,8,5356.708802
10110,12.57142857,23434.50911,88,0,9,53,37,0,0,45,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,90323.5
10111,8.166666667,120766.6308,49,0,10,0,55,34,0,40,59,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,33,1.5,72612
10112,7.285714286,10447.14048,51,7,13,27,45,5,0,37,62,,,,,,,,,,,,,,,,,,
10113,9.428571429,13550.11259,66,0,12,28,48,4,6,24,75,0,13,0,20,0,0,0,0,0,0,20,0,0,0,0,46,3,11489.45
10114,1,4769,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10115,7,14421.44286,49,0,26,8,63,2,0,36,63,,,,,,,,,,,,,,,,,,
10116,11.57142857,11067.30032,81,3,7,39,45,2,1,45,54,,,,,,,,,,,,,,,,,,
10117,17.57142857,23946.4287,123,1,7,59,21,1,8,28,71,0,11,28,8,0,1,1,3,0,0,5,0,0,1,0,38,8.571428571,21818.3076
10118,27.57142857,30110.68471,193,0,4,73,12,7,2,53,46,,,,,,,,,,,,,,,,,,
10119,5.2,13309.27778,26,0,11,69,15,3,0,42,57,,,,,,,,,,,,,,,,,,
1012,2.545454545,5139.790909,28,21,21,14,28,7,7,35,64,8,6,10,7,3,3,11,6,2,0,12,1,0,11,5,15,8.333333333,4829.645569
10120,9.857142857,9726.204592,69,5,23,49,20,1,0,34,65,,,,,,,,,,,,,,,,,,
10122,10.42857143,13907.80137,73,0,4,47,31,1,15,32,67,,,,,,,,,,,,,,,,,,
10123,10,11836.17449,70,5,15,50,24,0,4,25,74,,,,,,,,,,,,,,,,,,
10124,7.571428571,11270.47692,53,0,0,64,15,0,20,49,50,,,,,,,,,,,,,,,,,,
10125,16.42857143,20687.31275,115,1,3,39,42,4,8,45,54,,,,,,,,,,,,,,,,,,
10126,2.666666667,19138.18056,16,0,56,0,43,0,0,56,43,,,,,,,,,,,,,,,,,,
10128,17.28571429,15901.71851,121,1,4,56,27,9,0,48,51,,,,,,,,,,,,,,,,,,
10129,13.14285714,11012.508,92,1,1,67,20,8,1,43,56,,,,,,,,,,,,,,,,,,
1013,2.666666667,5252.876389,32,6,25,15,21,9,21,56,43,9,5,5,6,0,5,7,5,4,0,10,1,1,11,10,13,9.083333333,5930.389291
10130,19.57142857,13479.99459,137,0,12,45,32,9,0,42,57,0,12,0,0,0,6,6,0,0,0,12,0,0,6,18,37,2.666666667,9571.5
10131,10.85714286,19744.28313,76,0,3,36,38,13,7,34,65,,,,,,,,,,,,,,,,,,
10132,1,15858,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10133,9.333333333,13361.29285,56,0,12,10,48,14,14,51,48,,,,,,,,,,,,,,,,,,
10134,5.142857143,16618.62755,36,0,27,30,36,0,5,38,61,,,,,,,,,,,,,,,,,,
10135,4.166666667,19315.73611,25,0,20,28,40,8,4,32,68,0,3,17,0,0,0,6,0,0,0,24,0,0,13,0,34,4.833333333,9189.798611
10136,2.5,10606.41667,15,0,0,60,40,0,0,40,60,0,0,11,5,0,0,11,11,11,0,27,0,0,0,0,22,2.571428571,14926.29762
10137,13,18203.24852,78,1,5,48,26,17,0,43,56,18,0,0,18,0,0,0,9,0,0,0,0,0,0,0,54,1.833333333,16195.58333
10138,2,24736.5,12,0,50,8,41,0,0,50,50,,,,,,,,,,,,,,,,,,
10139,4.857142857,12848.79388,34,0,2,44,52,0,0,38,61,,,,,,,,,,,,,,,,,,
1014,2.272727273,3563.666667,25,12,28,12,20,12,16,40,60,15,7,10,5,2,3,6,5,5,0,11,0,1,10,6,6,6.333333333,5463.997884
10140,11.42857143,12204.62388,80,3,0,51,30,6,8,33,66,0,25,25,0,0,0,0,0,0,0,0,0,0,37,0,12,8,10428.5
10142,15.71428571,20881.61583,110,0,4,50,31,5,7,22,77,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,45,1.833333333,10189.08333
10143,9.142857143,11859.60799,64,3,9,12,73,1,0,28,71,,,,,,,,,,,,,,,,,,
10144,5.833333333,12701.0381,35,0,0,8,68,0,22,42,57,,,,,,,,,,,,,,,,,,
10145,8.428571429,28465.46716,59,0,13,0,77,5,3,20,79,0,0,0,3,3,0,0,3,0,0,46,0,0,26,0,16,5,30631.06296
10146,8,12062.64668,56,0,12,64,19,0,3,37,62,,,,,,,,,,,,,,,,,,
10147,6,7927.166667,6,0,16,33,50,0,0,50,50,,,,,,,,,,,,,,,,,,
10148,12.14285714,14463.46139,85,0,8,40,48,1,2,40,60,,,,,,,,,,,,,,,,,,
10149,3.571428571,13148.61565,25,0,8,36,40,16,0,28,72,0,33,0,16,0,0,0,8,0,0,0,0,0,0,0,41,3,8482.125
1015,3.5,5128.079167,42,11,26,16,19,14,11,38,61,10,6,11,9,1,4,8,5,2,0,6,2,5,15,7,5,8,5545.189928
10150,10.42857143,18933.47309,73,0,10,1,65,6,15,34,65,,,,,,,,,,,,,,,,,,
10151,4,14776.93889,24,0,0,0,75,0,25,33,66,,,,,,,,,,,,,,,,,,
10152,4.857142857,23319.31463,34,0,20,17,55,5,0,41,58,,,,,,,,,,,,,,,,,,
10153,3,7101.333333,3,0,66,0,33,0,0,66,33,,,,,,,,,,,,,,,,,,
10154,15.28571429,10564.18197,107,0,1,59,20,8,9,52,47,,,,,,,,,,,,,,,,,,
10155,2.428571429,21534.6119,17,0,35,11,52,0,0,52,47,,,,,,,,,,,,,,,,,,
10156,5.428571429,23309.10476,38,0,18,28,44,2,5,39,60,,,,,,,,,,,,,,,,,,
10157,1.75,28133.5,7,0,0,0,100,0,0,42,57,,,,,,,,,,,,,,,,,,
10158,8.857142857,8671.234587,62,0,9,67,17,4,0,33,66,,,,,,,,,,,,,,,,,,
1016,3.083333333,5675.534722,37,13,13,21,24,10,16,43,56,11,9,11,9,0,4,5,4,4,0,5,1,1,10,4,10,8.666666667,5921.305557
10160,5.833333333,16331.49067,35,0,17,20,62,0,0,28,71,,,,,,,,,,,,,,,,,,
10161,1,1374,1,0,0,0,100,0,0,0,100,,,,,,,,,,,,,,,,,,
10162,4.142857143,14001.85595,29,0,0,48,34,10,6,31,68,4,0,0,4,0,4,0,0,0,0,17,0,0,34,0,34,4.6,12627.09286
10163,6.571428571,15075.48878,46,0,0,58,41,0,0,39,60,,,,,,,,,,,,,,,,,,
10164,1,18438,1,0,100,0,0,0,0,100,0,11,0,0,0,0,5,0,0,0,0,29,0,0,29,0,23,4.25,17208.04286
10165,18.85714286,21503.9868,132,0,8,65,21,3,0,38,61,,,,,,,,,,,,,,,,,,
10166,16.14285714,11302.43455,113,0,7,46,26,11,7,40,59,3,3,0,0,0,3,0,0,0,0,30,0,0,3,6,50,4.285714286,10301.91122
10167,7.166666667,16577.02837,43,2,13,53,30,0,0,39,60,,,,,,,,,,,,,,,,,,
10168,4.4,21423.01071,22,0,22,72,4,0,0,50,50,,,,,,,,,,,,,,,,,,
10169,8.5,13076,51,1,27,29,33,5,1,19,80,0,9,10,0,0,0,32,0,0,0,0,0,0,18,5,23,7.857142857,12777.41306
1017,2.545454545,6410.106061,28,14,35,10,14,0,25,35,64,7,6,12,7,3,2,8,6,6,0,10,0,1,10,6,15,8.25,5213.810123
10170,8,13572.05348,48,0,2,52,31,6,8,27,72,,,,,,,,,,,,,,,,,,
10171,1,3329,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10172,5.285714286,8452.918367,37,0,0,35,37,0,27,27,72,,,,,,,,,,,,,,,,,,
10173,4.857142857,15536.06224,34,0,0,0,70,5,23,29,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.2,11504.8
10174,1.666666667,16946.5,10,0,60,0,40,0,0,50,50,,,,,,,,,,,,,,,,,,
10175,10.28571429,13153.3228,72,0,0,30,44,6,18,43,56,,,,,,,,,,,,,,,,,,
10176,2.285714286,12643.85714,16,0,18,43,0,37,0,62,37,0,0,4,0,0,0,0,0,0,0,19,0,0,47,0,28,4.2,6075.166667
10177,5.142857143,8905.047619,36,2,11,2,50,0,33,41,58,,,,,,,,,,,,,,,,,,
10179,5.857142857,17937.54099,41,0,24,24,51,0,0,31,68,6,0,20,0,0,0,0,0,6,0,0,0,0,6,0,60,2.5,11174.48611
1018,3.583333333,4923.360417,43,11,16,30,23,2,16,37,62,7,9,8,10,1,4,7,6,4,0,7,1,1,15,8,11,8.25,5238.74798
10180,4.333333333,20027.47778,26,0,15,3,57,0,23,34,65,,,,,,,,,,,,,,,,,,
10181,20,21662.03488,120,0,4,60,29,5,0,35,64,,,,,,,,,,,,,,,,,,
10182,3,18792.94762,21,0,0,0,71,0,28,28,71,,,,,,,,,,,,,,,,,,
10183,2.666666667,22360.41667,16,0,12,0,43,0,43,56,43,,,,,,,,,,,,,,,,,,
10184,3.5,8567.208333,7,0,14,42,42,0,0,57,42,,,,,,,,,,,,,,,,,,
10185,6.428571429,11353.48044,45,0,26,11,60,0,2,28,71,,,,,,,,,,,,,,,,,,
10186,1,6403,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10188,16.66666667,10669.92895,100,0,3,46,51,0,0,54,46,,,,,,,,,,,,,,,,,,
10189,3.166666667,13831.98611,19,0,5,42,26,26,0,42,57,,,,,,,,,,,,,,,,,,
1019,2.833333333,4283.069444,34,17,14,26,11,14,14,47,52,7,8,9,6,4,6,8,4,3,0,11,0,3,12,6,7,7.833333333,4804.797427
10190,15.57142857,23396.04344,109,0,11,54,23,10,0,32,67,,,,,,,,,,,,,,,,,,
10191,8.857142857,12602.3839,62,0,25,30,32,11,0,56,43,,,,,,,,,,,,,,,,,,
10192,8.833333333,22424.8176,53,1,11,60,22,3,0,49,50,,,,,,,,,,,,,,,,,,
10193,29,277243.3351,203,0,37,58,3,0,0,52,47,0,7,39,7,0,5,1,1,0,0,0,0,1,10,1,23,22,47143.65798
10194,18.83333333,34450.67393,113,0,10,50,30,2,5,63,36,,,,,,,,,,,,,,,,,,
10195,1,1774,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10196,6.857142857,14149.5561,48,0,10,35,54,0,0,47,52,,,,,,,,,,,,,,,,,,
10197,11,18105.35917,66,0,10,1,77,7,3,22,77,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,90,2.2,9895.2
10198,4.285714286,17857.17857,30,0,20,23,23,0,33,40,60,,,,,,,,,,,,,,,,,,
10199,4.5,16006.41667,9,0,11,33,55,0,0,55,44,,,,,,,,,,,,,,,,,,
102,2.454545455,6507.487879,27,3,33,18,40,0,3,62,37,10,3,14,9,3,6,11,4,6,0,9,0,3,4,2,4,8.583333333,5015.23768
1020,3.363636364,6227.356061,37,5,16,18,35,8,16,56,43,8,4,6,7,6,2,7,3,3,0,11,1,3,18,4,9,6.75,4408.547123
10201,4.285714286,11084.61905,30,0,3,13,60,3,20,33,66,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,2,18898
10203,1,13680,1,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,21,0,0,36,5,36,3.166666667,8413.361111
10204,7.166666667,20118.7625,43,0,4,62,13,4,13,44,55,,,,,,,,,,,,,,,,,,
10205,9.285714286,12478.40918,65,0,9,29,53,7,0,41,58,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,40,1.666666667,8132
10206,6,9273.320707,42,0,21,54,16,7,0,30,69,,,,,,,,,,,,,,,,,,
10207,6.285714286,15404.17438,44,0,22,34,34,9,0,36,63,,,,,,,,,,,,,,,,,,
10208,10.71428571,10092.04217,75,0,10,49,36,2,1,37,62,,,,,,,,,,,,,,,,,,
10209,10.16666667,16446.89893,61,0,16,65,18,0,0,45,54,,,,,,,,,,,,,,,,,,
1021,4.25,5041.556944,51,13,19,15,19,13,17,45,54,3,12,8,8,0,5,6,3,4,0,12,0,1,8,8,13,9.583333333,5241.191536
10210,29.85714286,15876.6455,209,1,4,48,17,28,0,50,49,,,,,,,,,,,,,,,,,,
10211,7,9820.207143,49,0,2,57,22,0,18,34,65,,,,,,,,,,,,,,,,,,
10212,5.857142857,12871.54921,41,0,19,31,48,0,0,43,56,,,,,,,,,,,,,,,,,,
10213,7.571428571,15701.55198,53,0,9,24,47,1,16,32,67,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,2.5,13628.75
10214,30.28571429,30680.5712,212,0,7,38,37,15,0,33,66,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46560.75
10215,2.75,6914.5,11,0,0,9,90,0,0,45,54,,,,,,,,,,,,,,,,,,
10216,45.42857143,48672.52919,318,9,1,65,20,2,0,41,58,,,,,,,,,,,,,,,,,,
10217,16,12144.84873,112,0,5,35,46,9,2,33,66,,,,,,,,,,,,,,,,,,
10218,6.666666667,19001.92097,40,0,22,37,40,0,0,20,80,,,,,,,,,,,,,,,,,,
10219,15.28571429,15450.81068,107,0,0,44,43,2,8,31,68,,,,,,,,,,,,,,,,,,
1022,3.8,4947.931667,38,15,28,13,23,0,18,36,63,14,5,10,5,4,1,9,7,5,0,9,1,0,8,4,14,8,5516.24838
10220,5.833333333,16094.4504,35,0,0,42,34,8,14,37,62,,,,,,,,,,,,,,,,,,
10222,1,982,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10223,1,20770,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10224,5,14768.33878,35,0,17,31,51,0,0,20,80,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,77,3,11341.66667
10225,2.857142857,15555.96429,20,0,0,0,70,0,30,30,70,,,,,,,,,,,,,,,,,,
10226,5.142857143,47318.64524,36,0,5,33,58,0,2,36,63,,,,,,,,,,,,,,,,,,
10227,2,7031.5,6,0,0,50,33,16,0,66,33,,,,,,,,,,,,,,,,,,
10228,6.333333333,15540.67885,38,0,7,26,39,2,23,34,65,,,,,,,,,,,,,,,,,,
10229,13.42857143,16976.61386,94,0,3,45,32,12,5,40,59,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,2.666666667,18969.33333
