ip_id,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR,label
55,1986.0,2010-12-22,0.0,42218.0,500.0,1.0,3.0,1.0,3,10.0,5.0,10.0,10.0,7.0,8.0,3.0,3.0,2.0,0.0,10.0,1.0,1.0,13.0,4.0,8.0,7.5,5056.75946969697,3.45454545454545,5179.95995670996,38.0,7.0,21.0,23.0,23.0,13.0,10.0,71.0,28.0,0.0
56,1982.0,2012-04-06,0.0,42813.0,500.0,1.0,3.0,5.0,6,3.0,3.0,13.0,13.0,3.0,7.0,9.0,3.0,4.0,2.0,7.0,0.0,3.0,8.0,6.0,13.0,8.08333333333333,5923.89705387205,3.3,5396.86666666667,33.0,9.0,24.0,15.0,21.0,18.0,12.0,54.0,45.0,0.0
57,1979.0,2004-03-14,0.0,42792.0,500.0,2.0,4.0,6.0,9,7.0,3.0,4.0,8.0,2.0,5.0,7.0,7.0,4.0,0.0,14.0,1.0,2.0,12.0,5.0,12.0,7.5,6077.615376984129,3.5833333333333304,5150.27361111111,43.0,9.0,18.0,20.0,25.0,6.0,18.0,39.0,60.0,0.0
58,1977.0,2012-11-16,1.0,36157.0,15151.0,2.0,1.0,2.0,7,7.0,7.0,7.0,2.0,5.0,3.0,14.0,4.0,0.0,0.0,10.0,1.0,1.0,21.0,5.0,8.0,7.08333333333333,4799.518055555561,3.1666666666666696,6034.21666666667,38.0,13.0,15.0,18.0,13.0,13.0,26.0,55.0,44.0,0.0
59,1979.0,2011-07-10,0.0,46609.0,500.0,1.0,4.0,1.0,1,14.0,5.0,6.0,7.0,2.0,5.0,6.0,5.0,6.0,0.0,7.0,1.0,1.0,15.0,5.0,6.0,9.83333333333333,4810.07316919192,3.5,5168.608333333329,35.0,8.0,22.0,14.0,25.0,2.0,25.0,57.0,42.0,0.0
60,1981.0,2011-06-15,1.0,47255.0,160357.0,2.0,4.0,3.0,2,7.0,6.0,10.0,4.0,6.0,4.0,9.0,6.0,6.0,0.0,9.0,2.0,0.0,10.0,3.0,10.0,6.83333333333333,4721.84990079365,3.9,6492.49047619048,39.0,12.0,15.0,25.0,7.0,10.0,28.0,43.0,56.0,0.0
61,1982.0,2010-11-07,1.0,49586.0,582765.0,2.0,4.0,2.0,8,11.0,5.0,7.0,9.0,1.0,4.0,9.0,8.0,4.0,0.0,8.0,0.0,5.0,15.0,2.0,5.0,7.08333333333333,5582.299621212121,3.1666666666666696,4317.192361111111,38.0,7.0,26.0,5.0,26.0,7.0,26.0,65.0,34.0,0.0
62,1979.0,2006-10-12,0.0,35749.0,500.0,1.0,4.0,4.0,7,13.0,8.0,10.0,2.0,0.0,4.0,4.0,7.0,4.0,1.0,13.0,1.0,0.0,13.0,5.0,10.0,5.75,5475.185714285711,3.4166666666666696,5324.61111111111,41.0,9.0,14.0,24.0,21.0,4.0,24.0,53.0,46.0,0.0
63,1977.0,2003-12-27,0.0,38260.0,70446.0,1.0,3.0,6.0,8,4.0,7.0,7.0,10.0,1.0,8.0,7.0,2.0,7.0,0.0,14.0,0.0,0.0,9.0,7.0,12.0,7.91666666666667,5924.06155626781,4.0,6479.44090909091,44.0,9.0,15.0,18.0,20.0,11.0,25.0,50.0,50.0,0.0
64,1974.0,2008-12-27,1.0,43105.0,378126.0,1.0,3.0,6.0,3,4.0,4.0,9.0,14.0,0.0,4.0,10.0,6.0,4.0,0.0,6.0,0.0,3.0,10.0,6.0,11.0,8.75,4736.80018939394,3.25,4994.520833333329,39.0,10.0,15.0,28.0,15.0,7.0,23.0,53.0,46.0,0.0
65,1978.0,2008-11-23,0.0,46152.0,306623.0,1.0,4.0,2.0,5,11.0,5.0,8.0,11.0,1.0,7.0,10.0,5.0,4.0,0.0,5.0,0.0,2.0,10.0,2.0,11.0,9.83333333333333,5547.7477027602,3.75,4971.31111111111,45.0,4.0,20.0,31.0,6.0,8.0,28.0,48.0,51.0,0.0
66,1979.0,2010-08-13,0.0,46355.0,447969.0,1.0,2.0,2.0,9,10.0,7.0,9.0,6.0,2.0,7.0,8.0,7.0,5.0,0.0,5.0,1.0,4.0,13.0,3.0,7.0,7.83333333333333,4649.35132275132,3.2,6162.54666666667,32.0,9.0,28.0,21.0,34.0,6.0,0.0,53.0,46.0,0.0
67,1982.0,2011-08-01,0.0,42679.0,500.0,2.0,3.0,2.0,11,7.0,9.0,6.0,10.0,3.0,9.0,4.0,5.0,2.0,0.0,6.0,3.0,0.0,8.0,8.0,12.0,7.58333333333333,4989.63627044252,2.75,7209.7361111111095,33.0,6.0,21.0,15.0,15.0,15.0,27.0,54.0,45.0,0.0
68,1975.0,2013-11-10,0.0,44211.0,459755.0,2.0,3.0,1.0,5,10.0,8.0,9.0,8.0,4.0,3.0,9.0,3.0,9.0,0.0,7.0,0.0,0.0,5.0,6.0,11.0,7.66666666666667,4796.03847101972,3.6666666666666696,4654.91180555556,44.0,9.0,22.0,22.0,20.0,4.0,20.0,56.0,43.0,0.0
69,1978.0,2007-09-13,0.0,46547.0,500.0,1.0,2.0,5.0,8,4.0,10.0,5.0,4.0,1.0,6.0,7.0,6.0,7.0,1.0,11.0,1.0,4.0,14.0,2.0,10.0,7.66666666666667,5239.02162420912,3.3636363636363598,6019.14545454546,37.0,5.0,24.0,24.0,16.0,16.0,13.0,54.0,45.0,0.0
70,1978.0,2011-10-27,0.0,45105.0,500.0,2.0,3.0,4.0,5,9.0,3.0,12.0,6.0,4.0,3.0,14.0,7.0,6.0,1.0,8.0,0.0,1.0,7.0,5.0,10.0,8.0,5450.81553330928,3.4166666666666696,5825.23333333333,41.0,12.0,17.0,17.0,21.0,9.0,21.0,58.0,41.0,0.0
71,1984.0,2011-07-14,0.0,50552.0,500.0,2.0,1.0,1.0,3,6.0,6.0,8.0,13.0,4.0,3.0,7.0,7.0,7.0,0.0,9.0,2.0,3.0,9.0,4.0,7.0,7.91666666666667,5335.837953944199,3.7272727272727297,4700.68181818182,41.0,9.0,7.0,24.0,31.0,7.0,19.0,46.0,53.0,0.0
72,1976.0,2007-10-10,0.0,39256.0,666810.0,1.0,1.0,5.0,9,10.0,11.0,6.0,2.0,1.0,2.0,8.0,7.0,2.0,0.0,9.0,0.0,1.0,19.0,7.0,9.0,9.08333333333333,5065.87789201539,4.16666666666667,5199.89537037037,50.0,8.0,22.0,16.0,20.0,14.0,20.0,68.0,32.0,0.0
73,1979.0,2003-10-30,0.0,40848.0,893071.0,2.0,4.0,4.0,1,14.0,9.0,7.0,9.0,0.0,3.0,6.0,9.0,3.0,1.0,7.0,1.0,1.0,5.0,7.0,9.0,8.91666666666667,5270.8868085618105,3.2727272727272703,4723.45303030303,36.0,5.0,16.0,11.0,30.0,13.0,22.0,52.0,47.0,0.0
74,1987.0,2011-04-06,0.0,46711.0,224659.0,2.0,3.0,3.0,12,6.0,9.0,10.0,6.0,2.0,5.0,6.0,3.0,3.0,0.0,13.0,0.0,3.0,12.0,5.0,9.0,7.25,5808.88008658009,3.2727272727272703,4664.612121212121,36.0,25.0,11.0,13.0,22.0,11.0,16.0,47.0,52.0,0.0
75,1973.0,2012-04-16,0.0,42993.0,28342.0,2.0,4.0,5.0,8,6.0,4.0,5.0,7.0,1.0,2.0,10.0,4.0,4.0,0.0,9.0,0.0,0.0,18.0,6.0,10.0,9.18181818181818,4677.908813408811,3.25,4762.50925925926,39.0,20.0,20.0,15.0,12.0,15.0,15.0,38.0,61.0,0.0
76,1980.0,2006-04-11,0.0,50174.0,500.0,1.0,4.0,5.0,12,2.0,9.0,13.0,8.0,0.0,4.0,10.0,5.0,5.0,0.0,8.0,0.0,3.0,13.0,5.0,5.0,9.0,5526.32796092796,3.1666666666666696,5444.13194444444,38.0,13.0,21.0,15.0,10.0,23.0,15.0,47.0,52.0,0.0
77,1975.0,2012-05-08,0.0,34418.0,500.0,1.0,1.0,6.0,12,5.0,12.0,15.0,7.0,4.0,1.0,7.0,3.0,0.0,0.0,7.0,2.0,3.0,11.0,7.0,7.0,7.33333333333333,4855.01653947904,3.25,5077.733333333329,39.0,12.0,10.0,23.0,28.0,5.0,20.0,41.0,58.0,0.0
